,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,36,29,25,21,60,13,50,43,41,71,49,48,14,27,38,48,13,8,62
v2,36,0,7,25,35,24,33,14,15,15,35,13,12,22,15,14,20,23,28,26
v3,29,7,0,26,36,31,32,21,16,16,42,20,19,17,16,15,21,20,25,33
v4,25,25,26,0,10,35,22,25,18,16,46,24,35,11,10,13,23,12,17,37
v5,21,35,36,10,0,43,18,29,22,20,50,32,45,19,20,21,27,16,13,41
v6,60,24,31,35,43,0,57,14,23,23,17,11,12,46,33,22,28,47,52,12
v7,13,33,32,22,18,57,0,47,40,38,68,46,45,15,24,35,45,12,7,59
v8,50,14,21,25,29,14,47,0,9,9,21,3,16,36,23,12,14,37,42,12
v9,43,15,16,18,22,23,40,9,0,2,28,12,25,29,16,5,5,30,35,19
v10,41,15,16,16,20,23,38,9,2,0,30,12,25,27,14,3,7,28,33,21
v11,71,35,42,46,50,17,68,21,28,30,0,22,23,57,44,33,23,58,63,9
v12,49,13,20,24,32,11,46,3,12,12,22,0,13,35,22,11,17,36,41,13
v13,48,12,19,35,45,12,45,16,25,25,23,13,0,34,25,24,30,35,40,14
v14,14,22,17,11,19,46,15,36,29,27,57,35,34,0,13,24,34,3,8,48
v15,27,15,16,10,20,33,24,23,16,14,44,22,25,13,0,11,21,14,19,35
v16,38,14,15,13,21,22,35,12,5,3,33,11,24,24,11,0,10,25,30,24
v17,48,20,21,23,27,28,45,14,5,7,23,17,30,34,21,10,0,35,40,16
v18,13,23,20,12,16,47,12,37,30,28,58,36,35,3,14,25,35,0,5,49
v19,8,28,25,17,13,52,7,42,35,33,63,41,40,8,19,30,40,5,0,54
v20,62,26,33,37,41,12,59,12,19,21,9,13,14,48,35,24,16,49,54,0
