,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,38,40,39,64,46,27,59,40,45,46,28,66,28,35,40,69,13,9,17,11,37,36,9,13,13,46,29,34,34,47,24,52,27,32,13,28,61,41,61,26,42,50,34,41,58,18,14,20,25,31,13,22,32,21,28,66,33,36,6,45,16,41,16,41,16,60,35,61,28,14,66,13,46,34,13,23,33,19,28,28,44,34,24,21,37,17,36,29,57,39,43,13,10,14,32,31,22,10,23
v2,38,0,56,3,26,26,15,21,44,29,34,10,28,30,7,4,31,31,29,21,35,51,12,47,33,27,38,21,16,50,31,14,14,11,8,51,12,23,25,23,42,26,12,4,33,36,28,28,18,13,47,25,36,16,33,12,28,19,20,44,9,26,57,32,25,38,22,37,27,16,24,28,37,8,44,25,39,7,23,10,18,24,4,28,37,21,21,52,45,35,49,31,25,46,24,20,29,16,40,25
v3,40,56,0,59,36,30,67,45,12,85,22,66,44,68,49,52,49,53,49,39,29,9,44,37,27,53,18,35,40,6,87,58,46,49,64,43,44,59,81,35,18,82,68,60,23,30,28,54,54,59,9,39,20,72,61,68,38,37,76,46,65,56,1,24,81,56,46,19,33,68,40,54,27,52,12,41,17,49,33,60,68,32,52,28,25,77,43,6,11,29,11,25,31,36,48,36,27,46,30,31
v4,39,3,59,0,25,29,16,20,47,26,37,11,27,31,10,7,30,32,30,22,36,54,15,48,34,28,41,24,19,53,28,15,13,12,7,52,15,22,22,24,45,23,11,5,36,39,31,29,19,14,50,26,39,13,34,13,27,22,19,45,6,27,60,35,22,39,21,40,30,17,25,27,38,7,47,26,42,10,26,11,19,27,7,31,40,18,22,55,48,38,52,34,28,47,25,23,32,17,41,28
v5,64,26,36,25,0,18,41,9,24,49,18,36,8,56,29,24,13,57,55,47,61,31,28,73,59,53,18,35,30,34,51,40,12,37,32,77,36,23,45,3,54,46,32,30,23,16,46,54,44,39,45,51,42,38,59,38,2,31,44,70,29,52,37,54,45,64,10,29,7,42,50,18,63,18,30,51,43,31,45,36,44,20,30,40,61,41,47,42,47,15,29,21,51,72,50,32,33,42,66,41
v6,46,26,30,29,18,0,37,15,18,55,8,36,20,38,19,22,23,39,37,29,43,25,14,55,41,35,12,17,12,24,57,28,16,19,34,59,18,29,51,15,36,52,38,30,7,12,28,36,26,29,27,33,24,42,41,38,20,13,46,52,35,34,31,36,51,46,16,11,15,38,32,24,45,22,18,33,25,19,27,30,38,2,22,22,43,47,29,26,29,11,23,5,33,54,32,14,15,24,48,23
v7,27,15,67,16,41,37,0,36,55,18,45,5,43,15,18,17,46,16,18,28,38,62,23,34,40,14,49,32,27,61,20,9,29,18,9,36,23,38,14,38,53,15,27,11,44,47,39,13,13,8,58,28,47,5,18,3,43,30,9,29,22,11,68,43,14,23,37,48,38,1,27,43,40,23,55,26,50,18,34,7,3,35,15,39,48,10,24,63,56,46,60,42,36,37,19,31,40,21,37,36
v8,59,21,45,20,9,15,36,0,33,40,23,31,7,51,24,19,10,52,50,42,56,40,23,68,54,48,27,30,25,39,42,35,7,32,27,72,31,14,36,10,49,37,23,25,22,25,41,49,39,34,40,46,37,33,54,33,7,26,39,65,20,47,46,49,36,59,1,26,16,37,45,9,58,13,33,46,38,26,40,31,39,15,25,35,56,32,42,41,42,24,38,20,46,67,45,27,28,37,61,36
v9,40,44,12,47,24,18,55,33,0,73,10,54,32,56,37,40,37,41,37,27,37,7,32,49,35,41,6,23,28,10,75,46,34,37,52,53,32,47,69,23,30,70,56,48,11,18,22,42,42,47,21,27,18,60,49,56,26,25,64,46,53,44,13,30,69,44,34,7,21,56,28,42,39,40,6,29,19,37,21,48,56,20,40,16,37,65,31,18,23,17,5,13,27,48,36,24,15,34,42,19
v10,45,29,85,26,49,55,18,40,73,0,63,19,41,21,36,33,40,32,36,46,56,80,41,52,58,32,67,50,45,79,2,27,39,36,21,42,41,32,4,50,71,9,21,25,62,65,57,31,31,26,76,46,65,13,24,17,47,48,9,39,20,29,86,61,4,29,39,66,56,17,45,37,58,33,73,44,68,36,52,25,17,53,33,57,66,8,42,81,74,64,78,60,54,55,37,49,58,39,55,54
