,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v1,0,38,29,41,25,36,41,71,77,67,2,66,67,12,29,66,52,53,54,47,31,58,37,49,48,53,31,37,8,9,39,51,32,46,40,64,24,31,19,42,72,35,46,54,33,19,30,63,55,10,61,53,64,43,33,45,61,84,37,60,55,55,31,73,44,34,60,7,25,75,83,66,45,31,64,30,51,88,33,70,41,52,55,11,55,36,50,45,41,52,47,33,27,63,51,35,36,87,69,26,70,63,6,30,38,47,13,39,32,70,50,42,5,38,50,55,53,41,47,39,29,25,71,5,71,24,82,26,55,46,33,15,25,55,37,61,74,23,60,73,55,51,57,41,53,64,23,52,36,25,63,66,10,46,23,18,40,67,46,80
v2,38,0,11,59,13,18,59,33,39,45,36,28,29,26,47,28,60,15,16,41,43,40,43,55,18,33,49,3,30,37,57,27,6,64,4,42,38,11,21,24,34,29,8,30,5,19,12,25,23,28,29,15,26,43,31,7,23,46,55,22,57,45,41,35,30,46,36,31,13,37,45,44,9,7,26,12,25,50,27,32,7,16,17,33,55,10,16,37,59,42,9,5,37,25,13,53,28,49,31,44,32,29,36,20,22,49,29,1,6,38,18,60,37,52,12,17,15,11,53,3,43,13,33,43,37,30,44,12,41,26,47,31,43,17,1,23,36,41,22,35,59,33,45,3,43,26,23,14,40,43,41,28,28,60,17,36,2,29,16,42
v3,29,11,0,48,14,29,48,42,48,38,27,37,38,17,36,37,49,24,25,30,32,29,32,44,19,24,38,14,21,28,46,22,11,53,11,35,27,2,10,13,43,18,17,25,12,10,1,34,26,19,32,24,35,32,20,18,32,55,44,31,46,34,30,44,19,35,31,22,8,46,54,37,16,16,35,23,22,59,16,41,12,23,26,24,44,21,27,26,48,31,20,6,26,34,22,42,17,58,40,33,41,34,27,9,11,38,18,10,13,41,21,49,28,41,21,28,24,12,42,14,32,4,42,34,42,19,53,15,30,17,36,20,32,26,10,32,45,30,31,44,48,22,34,12,32,35,12,23,29,32,34,37,19,49,6,25,11,38,17,51
v4,41,59,48,0,62,77,4,38,48,32,43,47,56,47,12,63,17,70,59,18,16,23,16,14,41,26,10,62,35,34,2,32,59,11,55,29,21,48,38,35,37,30,51,29,60,48,47,52,36,51,30,72,37,16,28,66,44,49,4,37,20,20,18,42,29,13,25,44,56,52,48,31,50,64,41,71,34,53,32,35,52,43,46,30,20,69,75,22,6,17,68,54,22,66,68,6,31,52,60,15,35,30,35,39,37,12,30,58,61,35,41,1,36,7,57,76,50,48,12,62,16,46,46,40,36,29,49,63,20,33,12,28,16,74,58,46,39,20,51,38,20,26,22,58,18,53,36,47,19,16,28,57,47,11,42,23,59,50,43,45
v5,25,13,14,62,0,15,62,46,52,48,23,41,42,15,50,41,63,28,29,44,46,43,46,58,23,36,52,12,27,30,60,30,7,67,15,45,41,14,24,27,47,32,21,33,8,14,15,38,30,15,36,28,39,46,34,20,36,59,58,35,60,48,44,48,33,49,39,18,6,50,58,47,20,6,39,9,28,63,30,45,16,27,30,32,58,11,25,40,62,45,22,8,40,38,26,56,31,62,44,47,45,38,27,23,25,52,32,14,7,45,25,63,26,55,25,30,28,16,56,14,46,16,46,30,46,33,57,1,44,29,50,34,46,30,12,36,49,44,35,48,62,36,48,16,46,39,26,27,43,46,44,41,15,63,20,39,15,42,21,55
v6,36,18,29,77,15,0,77,39,43,63,34,32,33,30,65,32,78,19,20,59,61,58,61,73,36,51,67,15,42,45,75,45,18,82,22,60,56,29,39,42,50,47,26,48,17,29,30,29,41,26,47,19,40,61,49,11,33,50,73,40,75,63,59,39,48,64,54,33,21,41,49,62,27,13,36,6,43,54,45,44,25,34,31,47,73,8,16,55,77,60,13,23,55,29,17,71,46,53,35,62,42,47,42,38,40,67,47,19,16,56,36,78,41,70,20,21,27,29,71,15,61,31,37,39,55,48,48,14,59,44,65,49,61,21,19,31,52,59,26,43,77,51,63,19,61,30,41,30,58,61,59,32,30,78,35,54,18,33,34,48
v7,41,59,48,4,62,77,0,38,48,28,43,47,56,47,12,63,13,70,59,18,16,19,16,10,41,26,10,62,35,38,6,32,59,7,55,25,21,48,38,35,33,30,51,29,60,48,47,52,36,51,30,72,37,16,28,66,44,45,6,37,16,16,18,42,29,13,23,44,56,52,44,27,50,64,41,71,34,49,32,33,52,43,46,34,16,69,75,22,2,17,68,54,22,66,68,10,31,48,60,15,35,30,37,39,37,10,30,58,61,31,41,5,38,7,57,76,50,48,8,62,16,46,46,44,32,29,49,63,18,33,12,28,16,74,58,46,35,24,51,34,16,26,18,58,16,53,36,47,19,20,24,57,47,7,42,23,59,50,43,41
v8,71,33,42,38,46,39,38,0,10,24,69,9,18,59,42,25,39,32,21,24,40,19,34,34,23,18,42,34,63,70,38,20,39,43,31,21,47,40,52,29,11,36,25,17,38,52,41,14,16,61,10,34,7,28,38,28,10,13,38,11,36,24,40,4,27,37,15,64,46,14,12,23,26,40,7,43,20,17,38,5,30,19,16,66,34,35,37,26,38,21,30,38,44,28,30,42,35,16,22,47,3,8,69,41,33,28,58,32,39,17,21,39,70,33,21,38,18,30,32,32,42,46,8,76,16,47,11,45,20,25,38,56,48,36,34,10,13,56,13,4,38,20,24,30,22,15,48,19,35,52,20,19,61,39,48,53,31,12,25,9
v9,77,39,48,48,52,43,48,10,0,34,75,11,10,65,48,15,49,24,23,30,46,29,40,44,29,24,48,40,69,76,46,26,45,53,37,31,53,46,58,35,21,42,31,23,44,58,47,14,22,67,18,24,13,34,44,32,16,9,44,17,46,34,46,6,33,43,25,70,52,4,8,33,32,46,13,49,26,11,44,15,36,25,22,72,44,41,27,32,48,31,30,44,50,18,26,48,41,14,12,53,13,18,75,47,39,38,64,38,45,27,27,49,76,41,27,28,24,36,42,38,48,52,6,82,26,53,5,51,30,31,44,62,54,26,40,16,23,62,17,14,48,26,34,36,32,13,54,25,41,58,30,11,67,49,54,59,37,10,31,19
v10,67,45,38,32,48,63,28,24,34,0,65,33,42,55,38,49,15,56,45,20,36,9,30,18,27,14,38,48,59,66,34,18,45,21,41,3,43,36,48,25,13,32,37,15,46,48,37,38,22,57,16,58,23,24,34,52,30,25,34,23,12,12,36,28,23,33,9,60,42,38,26,1,36,50,27,57,20,27,34,19,38,29,32,62,12,55,61,22,26,15,54,40,40,52,54,38,31,20,46,43,21,16,65,37,29,20,54,44,47,7,27,33,66,29,43,62,36,34,20,48,38,42,32,72,8,43,35,49,12,21,34,52,44,60,44,32,11,52,37,20,14,16,10,44,14,39,44,33,31,48,4,43,57,21,44,49,45,36,29,15
v11,2,36,27,43,23,34,43,69,75,65,0,64,65,10,31,64,50,51,52,45,29,56,35,47,46,51,33,35,8,11,41,49,30,48,38,62,22,29,17,40,70,33,44,52,31,17,28,61,53,8,59,51,62,41,31,43,59,82,39,58,53,53,29,71,42,32,58,5,23,73,81,64,43,29,62,28,49,86,31,68,39,50,53,13,53,34,48,43,43,50,45,31,25,61,49,37,34,85,67,28,68,61,8,28,36,45,13,37,30,68,48,44,7,36,48,53,51,39,45,37,27,23,69,7,69,22,80,24,53,44,31,15,27,53,35,59,72,25,58,71,53,49,55,39,51,62,21,50,34,27,61,64,8,44,21,20,38,65,44,78
v12,66,28,37,47,41,32,47,9,11,33,64,0,9,54,37,16,48,23,12,29,35,28,31,43,18,21,37,29,58,65,45,15,34,52,26,30,42,35,47,24,20,31,20,18,33,47,36,5,11,56,17,25,10,31,33,21,5,18,43,10,45,33,35,7,22,34,24,59,41,9,17,32,21,35,6,38,15,22,33,14,25,14,11,61,43,30,28,25,47,30,21,33,39,19,21,41,30,21,13,42,12,17,64,36,28,37,53,27,34,26,16,48,65,40,16,29,13,25,41,27,37,41,5,71,25,42,16,40,29,20,35,51,43,27,29,5,22,51,6,13,47,21,33,25,31,6,43,14,30,47,29,10,56,48,43,48,26,3,20,18
v13,67,29,38,56,42,33,56,18,10,42,65,9,0,55,44,7,57,14,13,38,40,37,40,52,19,30,46,30,59,66,54,24,35,61,27,39,43,36,48,25,29,32,21,27,34,48,37,4,20,57,26,16,19,40,34,22,12,17,52,19,54,42,38,14,27,43,33,60,42,8,16,41,22,36,15,39,22,21,34,23,26,15,12,62,52,31,19,34,56,39,20,34,40,10,16,50,31,22,4,43,21,26,65,37,29,46,54,28,35,35,17,57,66,49,17,20,14,26,50,28,40,42,10,72,34,43,15,41,38,23,44,52,44,18,30,10,31,52,7,22,56,30,42,26,40,3,44,15,37,48,38,1,57,57,44,49,27,6,21,27
