,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320
v1,0,20,34,33,59,45,30,51,27,52,24,32,37,27,38,56,18,55,36,24,16,21,57,41,35,17,27,28,8,14,25,48,51,29,65,27,18,17,34,56,18,26,26,24,46,12,12,30,65,13,56,38,62,26,21,52,21,50,20,21,24,31,41,23,34,40,32,7,62,23,14,12,49,29,29,18,15,20,61,48,34,28,38,25,29,3,63,8,49,56,56,43,20,29,57,29,7,31,51,20,34,3,22,15,32,4,33,20,70,13,28,27,45,17,37,11,19,14,11,7,9,23,50,46,32,30,45,50,13,55,19,40,27,12,28,50,44,22,15,46,25,47,25,25,18,64,42,57,8,16,15,2,33,13,19,45,70,19,38,44,45,44,33,12,29,58,56,69,32,60,16,17,15,44,38,21,45,60,11,2,20,18,41,19,48,34,27,58,31,16,40,53,13,32,21,23,43,22,40,13,43,27,36,55,49,12,36,63,15,26,28,20,54,17,31,46,50,53,35,31,51,47,19,26,33,20,1,47,28,13,30,19,37,35,59,23,46,42,33,65,6,10,30,34,35,48,64,39,28,44,59,8,24,18,65,28,18,47,55,48,38,49,23,47,51,38,54,27,52,14,16,19,21,58,20,11,31,7,51,25,29,24,40,16,15,35,38,25,61,10,45,47,53,58,7,51,28,38,28,36,20,26,11,31,18,42,53,14,39,19,15,17,37,28,52,31,30,28,61,35
v2,20,0,24,15,39,27,20,31,35,34,26,14,37,7,18,36,38,35,20,10,4,37,37,21,23,23,45,10,28,20,17,28,31,29,45,37,36,9,16,38,38,6,42,6,26,28,14,28,45,17,36,32,42,6,41,32,29,30,12,35,42,13,21,15,44,22,30,27,42,5,8,12,29,25,9,34,17,38,41,30,16,8,20,45,9,19,43,22,31,38,36,23,16,21,37,47,25,49,31,40,16,23,36,35,44,24,17,18,50,19,16,29,29,25,21,29,13,30,13,23,27,43,32,26,16,12,25,30,19,35,15,20,9,24,24,30,24,22,5,28,15,29,5,13,2,44,22,37,12,6,33,20,17,33,37,27,50,37,20,24,27,24,13,32,19,40,36,49,14,40,34,37,13,26,18,33,25,40,25,20,22,14,21,1,28,16,9,38,27,34,20,33,25,36,11,21,23,42,24,9,23,7,16,37,31,32,40,43,33,24,8,18,34,23,47,26,30,33,17,27,31,27,11,6,13,10,21,27,18,7,16,13,19,33,39,37,28,22,13,45,24,10,12,16,41,30,44,19,12,26,39,16,20,38,45,18,12,27,37,30,18,29,43,29,33,36,34,43,32,6,12,15,19,40,38,31,25,25,33,43,47,16,20,34,33,17,18,11,41,30,25,27,33,38,19,31,28,28,10,18,4,34,11,11,24,28,33,34,21,37,31,29,17,22,32,11,12,32,41,15
v3,34,24,0,39,31,51,36,17,11,58,40,38,13,31,20,22,52,21,4,30,20,13,23,39,41,17,21,34,42,20,9,14,17,43,31,13,16,17,40,62,52,22,18,30,36,22,22,42,31,31,22,8,28,20,55,34,13,22,26,13,22,11,31,11,20,46,6,41,28,29,22,22,15,5,23,16,19,16,27,54,8,16,4,59,25,33,29,26,55,62,22,23,30,35,23,23,27,25,17,54,40,37,12,49,20,38,39,14,36,21,34,7,11,39,43,37,15,44,27,37,25,57,56,12,38,36,23,16,33,21,29,20,33,22,38,40,40,36,19,52,31,53,25,11,24,30,44,29,26,22,29,32,7,47,17,51,36,29,44,18,51,10,37,46,5,64,22,35,38,26,32,51,27,50,36,13,35,26,23,34,14,16,35,25,14,40,33,24,3,48,32,37,39,12,27,11,27,56,6,21,9,17,12,61,55,46,16,29,27,38,26,32,20,37,23,14,24,29,41,41,27,15,15,18,29,26,35,39,34,21,36,27,43,9,25,13,52,26,35,31,28,24,36,40,17,54,30,41,34,50,25,26,10,52,31,6,16,19,61,54,38,27,57,53,57,12,20,19,28,20,26,15,33,64,52,45,39,29,57,19,23,30,26,24,47,41,16,13,27,44,39,29,19,28,27,17,42,4,34,42,20,10,23,15,38,8,23,48,45,51,45,43,23,6,20,27,12,8,27,33
v4,33,15,39,0,52,16,7,44,50,19,13,13,52,20,31,49,25,48,35,9,19,52,50,34,10,38,60,5,37,35,32,41,44,16,58,52,51,24,3,23,29,19,57,9,39,43,29,15,58,20,49,47,55,19,28,45,44,43,13,50,57,28,34,30,59,7,45,32,55,14,19,27,42,40,22,49,32,53,54,15,31,23,35,32,22,30,56,37,16,23,49,36,13,8,50,62,40,64,44,27,9,32,51,28,59,29,4,33,63,34,5,44,44,16,8,44,28,19,22,26,42,30,17,39,3,23,38,43,20,48,14,33,14,39,11,43,37,11,20,13,8,26,18,28,15,57,35,50,25,17,48,35,32,22,52,14,63,52,13,37,30,39,26,29,34,25,49,62,23,53,49,30,18,11,31,48,38,53,40,35,37,29,34,14,41,19,18,51,42,21,33,46,20,51,12,36,36,29,39,24,36,22,29,22,16,21,55,56,48,11,21,13,47,16,62,39,43,46,4,14,44,40,26,21,26,13,34,40,5,20,3,14,4,48,52,52,31,35,26,58,39,25,9,27,56,19,57,32,5,19,52,31,35,25,58,33,27,40,22,15,31,42,30,30,18,51,47,58,45,21,17,30,12,25,25,24,12,40,18,58,62,9,33,49,20,2,31,26,54,35,38,40,46,51,34,44,15,43,15,9,19,49,26,24,15,43,46,29,32,24,18,16,30,37,45,24,27,47,54,28
v5,59,39,31,52,0,36,59,34,42,33,65,39,44,32,21,29,77,16,27,49,43,44,22,18,62,42,52,49,67,45,34,27,22,68,20,44,43,42,49,33,77,33,49,43,13,47,47,67,16,56,25,39,15,33,80,7,38,9,51,42,49,28,18,36,51,53,37,66,5,38,47,47,30,32,30,41,44,45,4,45,25,31,27,84,30,58,12,51,48,39,23,16,55,60,24,54,52,56,18,79,43,62,43,74,51,63,56,39,13,46,55,36,36,64,60,62,40,69,52,62,50,82,47,19,55,29,14,19,58,14,54,19,38,47,63,9,15,61,44,51,54,26,34,34,41,7,17,2,51,45,54,57,26,72,44,38,11,54,39,15,22,31,26,71,30,39,21,16,29,19,57,76,52,53,21,40,14,25,48,59,39,41,18,40,33,33,34,7,34,73,19,6,64,43,50,36,16,81,31,46,22,32,23,36,38,71,47,18,52,63,31,57,31,62,54,17,9,6,56,66,8,16,40,33,26,49,60,12,57,46,55,52,52,40,22,44,21,17,26,12,53,49,43,25,48,33,21,20,51,33,8,51,35,77,14,31,41,12,42,49,21,10,82,22,40,43,29,50,7,45,51,40,58,37,77,70,64,54,42,50,54,55,19,49,72,52,21,34,10,69,14,12,16,3,52,20,67,35,37,43,39,41,48,28,63,35,8,73,20,76,70,68,22,31,11,28,29,39,20,24
v6,45,27,51,16,36,0,23,54,62,7,29,13,64,20,31,49,41,36,47,21,31,64,42,18,26,50,72,17,49,47,44,47,42,32,42,64,63,36,13,11,41,29,69,21,23,55,41,31,42,32,45,59,39,31,44,29,56,29,25,62,69,40,20,42,71,17,57,44,39,22,31,39,50,52,28,61,44,65,38,9,43,35,47,48,26,42,40,49,12,11,43,28,25,24,44,74,52,76,38,43,11,44,63,40,71,41,20,45,47,46,19,56,56,28,24,56,40,33,34,38,54,46,11,39,19,15,28,39,32,34,26,31,18,51,27,27,21,25,32,15,20,10,26,40,27,41,19,34,37,29,60,47,44,36,64,2,47,64,7,33,14,51,14,41,46,13,41,46,13,39,61,42,30,17,15,60,22,45,52,47,49,41,18,26,53,11,18,35,54,37,19,30,32,63,24,48,24,45,51,36,42,34,39,10,4,35,67,40,60,27,25,25,51,28,74,37,27,30,20,30,28,36,38,33,22,25,46,24,21,32,19,26,16,60,42,64,15,25,16,42,51,37,15,11,68,3,41,16,17,3,36,43,47,41,42,45,39,32,10,13,15,26,46,14,6,63,49,70,29,33,29,42,24,13,41,36,28,52,6,70,74,21,25,61,36,16,35,38,38,47,22,24,36,35,46,40,31,55,17,9,31,61,38,36,27,55,30,41,16,40,34,32,28,49,31,24,39,59,40,18
v7,30,20,36,7,59,23,0,51,47,26,6,20,49,27,38,56,18,55,36,10,16,49,57,41,5,35,57,10,34,32,29,48,51,9,65,49,48,21,10,26,26,26,54,16,46,40,26,8,65,17,56,44,62,26,21,52,41,50,10,47,54,31,41,27,56,10,42,29,62,21,16,24,49,37,29,46,29,50,61,18,34,28,38,25,29,27,63,34,19,26,56,43,10,1,57,59,37,61,51,20,16,29,48,25,56,26,3,30,70,31,4,41,45,13,7,41,25,16,19,23,39,23,20,46,4,30,45,50,17,55,11,40,21,36,4,50,44,8,17,16,5,33,25,25,18,64,42,57,22,14,45,32,33,19,49,21,70,49,20,44,37,44,33,26,31,28,56,69,30,60,46,27,15,14,38,45,45,60,37,32,34,26,41,19,48,26,25,58,39,14,40,53,17,48,9,33,43,22,40,21,43,27,36,25,21,18,52,63,45,4,28,10,54,13,59,46,50,53,5,7,51,47,23,26,33,10,31,47,2,17,4,11,7,45,59,49,38,42,33,65,36,22,16,34,53,26,64,39,8,26,59,28,32,18,65,30,24,47,25,18,38,49,23,37,21,48,54,55,52,18,14,27,9,28,18,21,5,37,21,55,59,6,40,46,15,7,38,25,61,32,45,47,53,58,31,51,8,40,22,16,20,46,23,31,12,42,53,26,39,17,15,13,37,34,52,31,30,44,61,35
v8,51,31,17,44,34,54,51,0,24,61,57,41,14,34,23,5,69,18,15,41,35,30,12,42,54,34,32,41,59,37,26,7,12,60,14,24,33,34,43,65,69,25,25,35,39,39,39,59,18,48,9,13,19,25,72,37,30,25,43,30,39,20,34,28,17,49,19,58,29,32,39,39,4,22,26,33,36,33,30,57,17,23,13,76,28,50,22,43,58,65,11,26,47,52,10,28,44,28,16,71,43,54,29,66,19,55,48,31,21,38,47,24,6,56,52,54,32,61,44,54,42,74,59,15,47,39,26,15,50,20,46,23,36,39,55,43,43,53,36,55,46,56,28,26,33,27,47,32,43,37,46,49,18,64,34,54,23,46,47,21,54,7,40,63,22,67,13,18,41,15,49,68,44,53,39,30,38,9,40,51,31,33,38,32,3,43,36,27,20,65,35,40,56,19,42,28,30,73,11,38,12,24,15,64,58,63,15,16,44,55,29,49,3,54,20,17,27,32,48,58,30,18,32,25,32,41,52,42,49,38,47,44,46,16,12,28,55,29,38,22,45,41,39,43,16,57,13,44,43,53,26,43,27,69,20,23,33,22,64,57,41,30,74,56,60,13,5,24,31,37,43,32,50,67,69,62,56,46,60,32,22,47,29,41,64,44,19,26,24,61,42,32,18,31,44,14,59,13,37,45,31,25,40,20,55,9,26,65,48,68,62,60,26,23,23,30,21,23,14,36
v9,27,35,11,50,42,62,47,24,0,69,41,49,10,42,31,29,45,28,15,41,31,6,30,50,52,12,10,45,35,15,18,21,24,46,38,2,9,26,51,73,45,33,7,41,47,15,21,47,38,30,29,11,35,31,48,45,6,33,37,6,15,22,42,20,9,57,5,34,37,40,31,23,22,10,34,9,18,9,38,65,19,27,15,52,36,26,36,19,66,73,29,34,37,46,30,12,20,14,24,47,51,30,5,42,9,31,50,17,43,16,45,6,18,34,54,30,22,37,28,30,18,50,67,23,49,47,34,23,30,28,36,31,44,15,45,51,51,39,30,63,42,64,36,22,35,37,55,40,25,33,22,25,18,40,10,62,43,22,55,29,62,17,48,39,16,75,29,42,49,33,25,44,32,61,47,6,46,33,16,27,13,21,46,36,21,51,44,35,8,41,43,48,32,5,38,14,38,49,13,26,20,28,23,72,66,39,9,36,20,43,37,37,27,34,12,25,35,40,52,48,38,26,24,29,40,37,28,50,45,30,47,36,54,8,32,4,63,37,46,38,21,25,47,51,8,65,37,52,45,61,34,19,15,45,38,17,23,30,72,65,49,38,50,64,68,11,27,8,39,29,33,20,38,75,45,38,48,22,68,8,12,41,37,17,40,52,27,24,34,37,50,40,26,39,20,24,45,11,45,53,31,1,24,26,35,15,34,41,56,44,38,36,34,13,31,38,23,3,34,44
v10,52,34,58,19,33,7,26,61,69,0,32,20,71,27,38,56,44,43,54,28,38,71,49,19,29,57,79,24,56,54,51,54,49,35,47,71,70,43,18,4,48,36,76,28,22,62,48,34,43,39,52,66,42,38,47,26,63,36,32,69,76,47,27,49,78,20,64,51,36,29,38,46,57,59,35,68,51,72,35,12,50,42,54,51,33,49,39,56,15,6,50,35,32,27,51,81,59,83,45,46,18,51,70,47,78,48,23,52,44,53,24,63,63,35,27,63,47,38,41,45,61,49,14,46,22,22,35,46,39,41,33,38,25,58,30,24,18,30,39,18,27,7,33,47,34,38,16,31,44,36,67,54,51,41,71,7,44,71,14,40,11,58,21,48,53,6,48,43,20,46,68,49,37,20,22,67,23,52,59,54,56,48,23,33,60,18,25,34,61,40,26,27,39,70,31,55,31,48,58,43,49,41,46,3,5,40,74,45,67,30,32,32,58,35,81,44,34,29,23,33,31,43,45,40,29,32,53,21,24,39,22,33,19,67,49,71,12,32,23,39,58,44,22,18,75,4,48,17,24,8,35,50,54,44,41,52,46,39,9,16,20,31,49,11,7,70,56,77,30,40,36,49,31,6,44,43,31,59,9,77,81,28,32,68,39,19,42,45,37,54,19,29,43,32,53,47,34,62,24,16,38,68,45,43,34,62,35,48,13,43,37,35,35,56,38,31,46,66,47,25
