,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80
v1,0,42,55,43,68,78,72,34,27,33,70,60,74,42,10,76,61,68,27,50,80,7,38,52,78,70,57,40,29,56,34,19,23,49,43,66,69,39,4,24,34,84,50,41,28,40,61,26,29,41,63,34,53,46,46,32,21,75,50,52,70,41,46,48,16,60,48,66,75,54,26,68,29,51,30,54,42,40,45,45
v2,42,0,27,1,44,38,30,38,41,13,28,48,32,70,32,34,19,26,33,58,38,35,44,56,36,28,15,56,33,30,8,49,19,15,73,24,53,19,38,38,30,42,8,11,44,46,21,24,15,1,29,20,11,16,16,44,25,33,20,68,28,19,54,8,34,18,10,58,33,12,56,38,41,9,18,12,12,62,73,9
v3,55,27,0,28,17,23,17,21,28,30,15,21,19,43,45,21,14,21,28,31,25,48,17,29,23,21,26,29,26,3,31,40,32,42,46,13,26,16,51,31,21,29,33,38,27,19,6,29,28,26,8,21,36,43,43,23,38,20,7,41,15,14,27,35,39,19,37,31,20,37,31,13,26,34,25,27,39,35,46,18
v4,43,1,28,0,45,39,29,39,42,14,27,49,31,71,33,33,18,25,34,59,37,36,45,57,35,27,14,57,34,31,9,50,20,14,74,23,54,20,39,39,31,41,7,10,45,47,22,25,16,2,30,21,10,15,15,45,26,32,21,69,27,20,55,7,35,17,9,59,32,11,57,39,42,8,19,11,11,63,74,10
v5,68,44,17,45,0,10,16,34,41,47,32,8,32,26,58,32,31,38,41,18,12,61,30,16,14,38,43,28,39,14,48,53,45,59,29,30,9,29,64,44,34,20,50,55,40,28,23,42,43,43,15,34,53,60,60,36,51,17,24,24,26,27,22,52,52,36,54,14,27,54,44,6,39,51,38,44,56,28,29,35
v6,78,38,23,39,10,0,10,44,51,49,26,18,26,36,68,26,25,32,51,28,6,71,40,26,8,32,37,38,49,22,44,63,55,53,37,24,15,39,74,54,44,14,44,49,50,38,17,52,51,37,15,44,47,54,54,46,61,11,28,30,20,37,32,46,62,30,48,20,21,48,54,10,49,45,48,38,50,38,35,33
v7,72,30,17,29,16,10,0,38,45,43,16,20,16,42,62,16,15,22,45,30,8,65,34,28,6,22,27,32,43,16,38,57,49,43,45,14,25,33,68,48,38,12,34,39,44,32,11,46,45,31,9,38,37,44,44,40,55,3,22,40,10,31,26,36,56,20,38,30,11,38,48,10,43,35,42,28,40,34,45,27
v8,34,38,21,39,34,44,38,0,7,41,36,26,40,32,24,42,27,34,7,20,46,27,6,18,44,36,37,18,5,22,42,19,25,53,35,32,35,19,30,10,8,50,44,49,6,8,27,14,37,37,29,18,47,54,54,6,29,41,18,30,36,19,16,46,18,30,48,32,41,48,18,34,5,45,20,38,50,24,35,29
v9,27,41,28,42,41,51,45,7,0,44,43,33,47,29,21,49,34,41,8,23,53,20,11,25,51,43,40,15,8,29,45,12,28,56,32,39,42,22,23,3,11,57,47,52,3,13,34,17,40,40,36,21,50,57,57,5,32,48,23,27,43,22,19,49,11,33,51,39,48,51,15,41,2,48,23,41,53,21,32,32
v10,33,13,30,14,47,49,43,41,44,0,41,51,45,73,23,47,32,39,36,61,51,32,47,59,49,41,28,59,36,33,5,52,16,20,76,37,56,22,31,41,33,55,21,10,47,49,32,27,4,12,34,23,24,13,15,47,12,46,23,71,41,22,57,19,37,31,19,61,46,25,59,41,44,22,21,25,13,65,76,16
v11,70,28,15,27,32,26,16,36,43,41,0,36,4,58,60,6,9,6,43,46,20,63,32,44,18,6,13,44,41,18,36,55,47,27,61,4,41,31,66,46,36,14,20,31,42,34,9,44,43,29,17,36,21,28,28,38,53,15,20,56,6,29,42,22,54,10,22,46,5,22,46,26,41,19,40,16,28,50,61,25
v12,60,48,21,49,8,18,20,26,33,51,36,0,36,22,50,36,35,42,33,10,20,53,22,8,18,42,47,20,31,18,52,45,37,63,25,34,9,29,56,36,26,24,54,59,32,20,27,34,47,47,19,28,57,64,64,28,43,21,28,20,30,29,14,56,44,40,58,10,31,58,36,10,31,55,30,48,60,20,25,39
v13,74,32,19,31,32,26,16,40,47,45,4,36,0,58,64,2,13,6,47,46,20,67,36,44,18,6,17,44,45,18,40,59,51,27,61,8,41,35,70,50,40,12,24,35,46,34,13,48,47,33,17,40,21,32,30,42,57,15,24,56,6,33,42,26,58,14,26,46,5,22,50,26,45,23,44,20,32,50,61,29
v14,42,70,43,71,26,36,42,32,29,73,58,22,58,0,50,58,57,64,37,12,38,41,26,14,40,64,69,14,37,40,74,27,57,85,3,56,27,51,42,32,40,46,76,81,26,24,49,46,69,69,41,50,79,86,86,26,61,43,50,10,52,51,16,78,36,62,80,24,53,80,18,32,29,77,52,70,82,8,3,61
