,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,112,163,76,137,84,235,88,22,302,264,186,133,174,53,59,79,203,17,151
v2,112,0,235,168,187,50,179,188,102,246,208,130,93,118,111,149,33,147,129,197
v3,163,235,0,87,48,185,138,75,141,149,163,147,142,179,216,104,202,92,174,38
v4,76,168,87,0,61,118,159,20,66,226,188,110,75,112,129,19,135,127,87,75
v5,137,187,48,61,0,137,98,49,115,165,127,99,94,131,190,78,154,66,148,14
v6,84,50,185,118,137,0,151,138,62,218,180,102,49,90,137,99,37,119,95,147
v7,235,179,138,159,98,151,0,147,213,67,29,49,102,61,288,176,188,46,246,100
v8,88,188,75,20,49,138,147,0,86,214,176,100,95,132,141,39,155,115,99,63
v9,22,102,141,66,115,62,213,86,0,280,242,164,111,152,75,47,69,181,33,129
v10,302,246,149,226,165,218,67,214,280,0,38,116,169,128,355,243,255,99,313,151
v11,264,208,163,188,127,180,29,176,242,38,0,78,131,90,317,205,217,71,275,125
v12,186,130,147,110,99,102,49,100,164,116,78,0,53,32,239,127,139,55,197,109
v13,133,93,142,75,94,49,102,95,111,169,131,53,0,41,186,74,86,70,144,104
v14,174,118,179,112,131,90,61,132,152,128,90,32,41,0,227,115,127,87,185,141
v15,53,111,216,129,190,137,288,141,75,355,317,239,186,227,0,112,100,256,42,204
v16,59,149,104,19,78,99,176,39,47,243,205,127,74,115,112,0,116,144,70,92
v17,79,33,202,135,154,37,188,155,69,255,217,139,86,127,100,116,0,156,96,164
v18,203,147,92,127,66,119,46,115,181,99,71,55,70,87,256,144,156,0,214,54
v19,17,129,174,87,148,95,246,99,33,313,275,197,144,185,42,70,96,214,0,162
v20,151,197,38,75,14,147,100,63,129,151,125,109,104,141,204,92,164,54,162,0
