,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18
v1,0,7,11,9,10,2,5,12,11,5,9,11,12,7,14,19,12,11
v2,7,0,14,2,3,5,8,15,14,2,8,8,15,8,9,22,15,4
v3,11,14,0,14,11,13,6,1,2,14,12,22,13,8,7,8,5,18
v4,9,2,14,0,3,7,8,15,14,4,8,10,15,8,9,22,15,6
v5,10,3,11,3,0,8,9,12,11,5,7,11,12,5,6,19,12,7
v6,2,5,13,7,8,0,7,14,13,3,7,9,14,7,12,21,14,9
v7,5,8,6,8,9,7,0,7,6,8,8,16,11,6,13,14,7,12
v8,12,15,1,15,12,14,7,0,1,15,13,23,14,9,8,9,6,19
v9,11,14,2,14,11,13,6,1,0,14,12,22,13,8,9,10,5,18
v10,5,2,14,4,5,3,8,15,14,0,8,8,15,8,9,22,15,6
v11,9,8,12,8,7,7,8,13,12,8,0,16,13,4,11,20,13,12
v12,11,8,22,10,11,9,16,23,22,8,16,0,11,16,15,18,17,4
v13,12,15,13,15,12,14,11,14,13,15,13,11,0,9,14,7,8,11
v14,7,8,8,8,5,7,6,9,8,8,4,16,9,0,9,16,9,12
v15,14,9,7,9,6,12,13,8,9,9,11,15,14,9,0,13,10,11
v16,19,22,8,22,19,21,14,9,10,22,20,18,7,16,13,0,7,18
v17,12,15,5,15,12,14,7,6,5,15,13,17,8,9,10,7,0,13
v18,11,4,18,6,7,9,12,19,18,6,12,4,11,12,11,18,13,0
