,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25
v1,0,4,9,8,2,3,6,10,2,8,3,5,4,1,11,5,3,6,2,6,13,16,16,9,6
v2,4,0,11,6,2,5,10,12,4,10,1,3,6,3,13,7,3,8,6,8,15,18,18,9,10
v3,9,11,0,9,11,12,5,1,7,5,10,8,5,10,2,6,8,3,11,3,6,11,13,12,9
v4,8,6,9,0,6,9,14,10,8,4,5,3,8,7,9,3,5,8,10,6,15,16,12,9,14
v5,2,2,11,6,0,3,8,12,4,10,1,3,6,1,13,7,3,8,4,8,15,18,18,9,8
v6,3,5,12,9,3,0,7,13,5,11,4,6,7,2,14,8,4,9,1,9,16,19,19,10,5
v7,6,10,5,14,8,7,0,6,6,10,9,11,6,7,7,11,9,6,6,8,9,16,18,15,4
v8,10,12,1,10,12,13,6,0,8,6,11,9,6,11,1,7,9,4,12,4,7,12,14,13,10
v9,2,4,7,8,4,5,6,8,0,6,3,5,2,3,9,5,3,4,4,4,11,14,14,9,6
v10,8,10,5,4,10,11,10,6,6,0,9,7,4,9,5,3,7,4,10,2,11,12,8,11,10
v11,3,1,10,5,1,4,9,11,3,9,0,2,5,2,12,6,2,7,5,7,14,17,17,8,9
v12,5,3,8,3,3,6,11,9,5,7,2,0,5,4,10,4,2,5,7,5,12,15,15,6,11
v13,4,6,5,8,6,7,6,6,2,4,5,5,0,5,7,5,3,2,6,2,9,12,12,9,6
v14,1,3,10,7,1,2,7,11,3,9,2,4,5,0,12,6,2,7,3,7,14,17,17,8,7
v15,11,13,2,9,13,14,7,1,9,5,12,10,7,12,0,6,10,5,13,5,8,13,13,14,11
v16,5,7,6,3,7,8,11,7,5,3,6,4,5,6,6,0,4,5,7,3,12,13,11,8,11
v17,3,3,8,5,3,4,9,9,3,7,2,2,3,2,10,4,0,5,5,5,12,15,15,6,9
v18,6,8,3,8,8,9,6,4,4,4,7,5,2,7,5,5,5,0,8,2,7,10,12,9,6
v19,2,6,11,10,4,1,6,12,4,10,5,7,6,3,13,7,5,8,0,8,15,18,18,11,4
v20,6,8,3,6,8,9,8,4,4,2,7,5,2,7,5,3,5,2,8,0,9,10,10,9,8
v21,13,15,6,15,15,16,9,7,11,11,14,12,9,14,8,12,12,7,15,9,0,17,9,6,13
v22,16,18,11,16,18,19,16,12,14,12,17,15,12,17,13,13,15,10,18,10,17,0,20,19,14
v23,16,18,13,12,18,19,18,14,14,8,17,15,12,17,13,11,15,12,18,10,9,20,0,9,18
v24,9,9,12,9,9,10,15,13,9,11,8,6,9,8,14,8,6,9,11,9,6,19,9,0,15
v25,6,10,9,14,8,5,4,10,6,10,9,11,6,7,11,11,9,6,4,8,13,14,18,15,0
