,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
v1,0,48,8,45,47,33,58,21,17,67,42,75,67
v2,48,0,40,9,33,19,18,41,53,19,32,55,55
v3,8,40,0,37,39,25,50,13,25,59,34,83,59
v4,45,9,37,0,24,12,13,32,50,22,29,64,46
v5,47,33,39,24,0,14,15,26,52,22,39,88,46
v6,33,19,25,12,14,0,25,22,38,34,25,74,36
v7,58,18,50,13,15,25,0,37,63,9,42,73,57
v8,21,41,13,32,26,22,37,0,38,46,47,96,52
v9,17,53,25,50,52,38,63,38,0,72,47,70,72
v10,67,19,59,22,22,34,9,46,72,0,51,66,66
v11,42,32,34,29,39,25,42,47,47,51,0,75,61
v12,75,55,83,64,88,74,73,96,70,66,75,0,54
v13,67,55,59,46,46,36,57,52,72,66,61,54,0
