,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
v1,0,48,8,45,47,33,58,21,17,67,42,75,67,36,9,67,49
v2,48,0,40,9,33,19,18,41,53,19,32,55,55,22,57,87,51
v3,8,40,0,37,39,25,50,13,25,59,34,83,59,28,17,59,41
v4,45,9,37,0,24,12,13,32,50,22,29,64,46,19,54,78,42
v5,47,33,39,24,0,14,15,26,52,22,39,88,46,23,56,54,24
v6,33,19,25,12,14,0,25,22,38,34,25,74,36,9,42,68,32
v7,58,18,50,13,15,25,0,37,63,9,42,73,57,32,67,69,35
v8,21,41,13,32,26,22,37,0,38,46,47,96,52,31,30,46,28
v9,17,53,25,50,52,38,63,38,0,72,47,70,72,41,20,84,54
v10,67,19,59,22,22,34,9,46,72,0,51,66,66,41,76,76,44
v11,42,32,34,29,39,25,42,47,47,51,0,75,61,16,51,93,57
v12,75,55,83,64,88,74,73,96,70,66,75,0,54,75,66,86,80
v13,67,55,59,46,46,36,57,52,72,66,61,54,0,45,64,32,36
v14,36,22,28,19,23,9,32,31,41,41,16,75,45,0,45,77,41
v15,9,57,17,54,56,42,67,30,20,76,51,66,64,45,0,64,46
v16,67,87,59,78,54,68,69,46,84,76,93,86,32,77,64,0,36
v17,49,51,41,42,24,32,35,28,54,44,57,80,36,41,46,36,0
