,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22
v1,0,23,47,21,31,29,32,35,11,24,23,41,21,18,48,16,9,37,19,21,67,80
v2,23,0,64,22,14,10,49,50,18,19,28,58,28,13,37,7,32,14,6,38,62,67
v3,47,64,0,68,78,74,23,26,46,45,36,18,36,65,39,59,40,50,58,26,58,85
v4,21,22,68,0,24,28,53,54,22,23,32,62,32,9,47,15,28,36,18,42,66,79
v5,31,14,78,24,0,4,63,64,32,33,42,72,42,15,51,19,38,28,20,52,76,81
v6,29,10,74,28,4,0,59,60,28,29,38,68,38,19,47,15,38,24,16,48,72,77
v7,32,49,23,53,63,59,0,3,31,30,21,9,21,50,16,44,41,35,43,29,39,70
v8,35,50,26,54,64,60,3,0,32,31,22,8,22,51,13,45,44,36,44,32,40,71
v9,11,18,46,22,32,28,31,32,0,13,12,40,10,19,37,13,20,26,12,20,56,69
v10,24,19,45,23,33,29,30,31,13,0,9,39,9,20,24,14,33,13,13,21,43,56
v11,23,28,36,32,42,38,21,22,12,9,0,30,2,29,25,23,32,14,22,20,44,57
v12,41,58,18,62,72,68,9,8,40,39,30,0,30,59,21,53,36,44,52,24,48,79
v13,21,28,36,32,42,38,21,22,10,9,2,30,0,29,27,23,30,16,22,18,46,59
v14,18,13,65,9,15,19,50,51,19,20,29,59,29,0,38,6,25,27,9,39,63,70
v15,48,37,39,47,51,47,16,13,37,24,25,21,27,38,0,32,57,23,31,45,33,58
v16,16,7,59,15,19,15,44,45,13,14,23,53,23,6,32,0,25,21,3,33,57,64
v17,9,32,40,28,38,38,41,44,20,33,32,36,30,25,57,25,0,46,28,14,76,89
v18,37,14,50,36,28,24,35,36,26,13,14,44,16,27,23,21,46,0,18,34,48,53
v19,19,6,58,18,20,16,43,44,12,13,22,52,22,9,31,3,28,18,0,32,56,61
v20,21,38,26,42,52,48,29,32,20,21,20,24,18,39,45,33,14,34,32,0,64,77
v21,67,62,58,66,76,72,39,40,56,43,44,48,46,63,33,57,76,48,56,64,0,83
v22,80,67,85,79,81,77,70,71,69,56,57,79,59,70,58,64,89,53,61,77,83,0
