,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
v1,0,31,9,44,17,88,26,58,86,23,26,78,55,36
v2,31,0,22,41,14,95,49,49,83,28,17,75,86,47
v3,9,22,0,41,14,85,29,49,83,14,17,75,64,39
v4,44,41,41,0,27,88,70,76,52,55,48,48,89,80
v5,17,14,14,27,0,81,43,49,69,28,21,61,72,53
v6,88,95,85,88,81,0,70,122,36,99,92,122,133,124
v7,26,49,29,70,43,70,0,76,68,41,44,104,81,54
v8,58,49,49,76,49,122,76,0,118,35,36,34,37,34
v9,86,83,83,52,69,36,68,118,0,97,90,90,131,122
v10,23,28,14,55,28,99,41,35,97,0,11,69,58,25
v11,26,17,17,48,21,92,44,36,90,11,0,70,69,32
v12,78,75,75,48,61,122,104,34,90,69,70,0,41,68
v13,55,86,64,89,72,133,81,37,131,58,69,41,0,39
v14,36,47,39,80,53,124,54,34,122,25,32,68,39,0
