,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod
gender,0,157.0796327,157.0796327,156.079616,156.079616,156.079616,156.079616,155.0794993,156.079616,156.079616,156.079616,156.079616,156.079616,156.079616,156.079616,155.0794993
SeniorCitizen,157.0796327,0,155.0794993,135.9221367,156.079616,142.0228054,129.7403295,135.9221367,138.9809876,138.9809876,134.8981856,137.963418,137.963418,143.0334912,141.0105674,136.9438406
Partner,157.0796327,155.0794993,0,110.4030988,155.0794993,143.0334912,157.0796327,142.0228054,142.0228054,139.9966658,144.0427347,143.0334912,144.0427347,126.6103673,156.079616,141.0105674
Dependents,156.079616,135.9221367,110.4030988,0,157.0796327,154.0791825,138.9809876,137.963418,141.0105674,141.0105674,138.9809876,142.0228054,143.0334912,132.8430476,146.0573277,142.0228054
PhoneService,156.079616,156.079616,155.0794993,157.0796327,0,0,110.4030988,138.9809876,139.9966658,139.9966658,138.9809876,138.9809876,138.9809876,157.0796327,155.0794993,156.079616
MultipleLines,156.079616,142.0228054,143.0334912,154.0791825,0,0,115.9279481,133.8718644,131.8116072,131.8116072,133.8718644,130.7774124,130.7774124,149.0710747,139.9966658,139.9966658
InternetService,156.079616,129.7403295,157.0796327,138.9809876,110.4030988,115.9279481,0,76.69940079,78.12981174,78.12981174,76.69940079,76.69940079,76.69940079,135.9221367,118.100003,125.5603294
OnlineSecurity,155.0794993,135.9221367,142.0228054,137.963418,138.9809876,133.8718644,76.69940079,0,76.69940079,76.69940079,75.24743762,78.12981174,78.12981174,126.6103673,122.3879429,126.6103673
OnlineBackup,156.079616,138.9809876,142.0228054,141.0105674,139.9966658,131.8116072,78.12981174,76.69940079,0,76.69940079,76.69940079,78.12981174,78.12981174,130.7774124,124.506684,128.7002218
DeviceProtection,156.079616,138.9809876,139.9966658,141.0105674,139.9966658,131.8116072,78.12981174,76.69940079,76.69940079,0,75.24743762,75.24743762,73.77259685,126.6103673,124.506684,127.6569489
TechSupport,156.079616,134.8981856,144.0427347,138.9809876,138.9809876,133.8718644,76.69940079,75.24743762,76.69940079,75.24743762,0,76.69940079,76.69940079,123.4492752,123.4492752,125.5603294
StreamingTV,156.079616,137.963418,143.0334912,142.0228054,138.9809876,130.7774124,76.69940079,78.12981174,78.12981174,75.24743762,76.69940079,0,69.19551751,132.8430476,122.3879429,129.7403295
StreamingMovies,156.079616,137.963418,144.0427347,143.0334912,138.9809876,130.7774124,76.69940079,78.12981174,78.12981174,73.77259685,76.69940079,69.19551751,0,132.8430476,123.4492752,129.7403295
Contract,156.079616,143.0334912,126.6103673,132.8430476,157.0796327,149.0710747,135.9221367,126.6103673,130.7774124,126.6103673,123.4492752,132.8430476,132.8430476,0,138.9809876,129.7403295
PaperlessBilling,156.079616,141.0105674,156.079616,146.0573277,155.0794993,139.9966658,118.100003,122.3879429,124.506684,124.506684,123.4492752,122.3879429,123.4492752,138.9809876,0,131.8116072
PaymentMethod,155.0794993,136.9438406,141.0105674,142.0228054,156.079616,139.9966658,125.5603294,126.6103673,128.7002218,127.6569489,125.5603294,129.7403295,129.7403295,129.7403295,131.8116072,0
