,Romney,Obama,Trump,Clinton,White,Black,Hispanic,Bachelors,High_School,Poverty,Density
Romney,0,141.4213562,26.45751311,139.2838828,72.11102551,117.8982612,103.9230485,114.0175425,102.4695077,109.0871211,110.9053651
Obama,141.4213562,0,138.9244399,22.36067977,122.4744871,76.15773106,95.91663047,84.26149773,98.48857802,89.4427191,87.74964387
Trump,26.45751311,138.9244399,0,140.7124728,68.556546,119.5826074,109.0871211,122.0655562,104.4030651,106.7707825,112.2497216
Clinton,139.2838828,22.36067977,140.7124728,0,126.0952021,70,90.55385138,75.49834435,99.49874371,89.4427191,85.44003745
White,72.11102551,122.4744871,68.556546,126.0952021,0,136.7479433,97.97958971,100,84.26149773,122.4744871,107.2380529
Black,117.8982612,76.15773106,119.5826074,70,136.7479433,0,104.8808848,103.9230485,116.6190379,73.48469228,94.86832981
Hispanic,103.9230485,95.91663047,109.0871211,90.55385138,97.97958971,104.8808848,0,99.49874371,117.4734012,94.33981132,95.91663047
Bachelors,114.0175425,84.26149773,122.0655562,75.49834435,100,103.9230485,99.49874371,0,63.2455532,119.1637529,87.17797887
High_School,102.4695077,98.48857802,104.4030651,99.49874371,84.26149773,116.6190379,117.4734012,63.2455532,0,128.8409873,98.99494937
Poverty,109.0871211,89.4427191,106.7707825,89.4427191,122.4744871,73.48469228,94.33981132,119.1637529,128.8409873,0,100.4987562
Density,110.9053651,87.74964387,112.2497216,85.44003745,107.2380529,94.86832981,95.91663047,87.17797887,98.99494937,100.4987562,0
