,SP_500,FactSet_Innovative_Technology,NYSE_Technology,Aerospace_Defense,Banks,Biotech,Capital_Markets,Health_Care_Equipment,Health_Care_Services,Homebuilders,Insurance,Internet,Metals_Mining,Oil_Gas_Equipment_Services,Oil_Gas_Exploration_Production,Pharmaceuticals,Regional_Banking,Retail,Semiconductor,Software_Services,Telecom,Transportation
SP_500,0,26,12,20,29,36,13,22,22,20,19,28,34,46,44,28,32,29,19,17,18,20
FactSet_Innovative_Technology,26,0,11,41,56,30,32,23,35,36,54,10,52,67,65,38,59,36,20,6,27,38
NYSE_Technology,12,11,0,36,49,33,27,25,34,32,43,18,45,61,58,36,53,37,11,11,24,32
Aerospace_Defense,20,41,36,0,26,44,21,32,29,27,21,40,32,40,40,38,28,34,35,30,26,21
Banks,29,56,49,26,0,55,16,44,34,33,15,53,34,36,37,45,1,34,44,44,33,21
Biotech,36,30,33,44,55,0,40,25,33,44,53,34,52,63,61,20,57,44,36,29,35,44
Capital_Markets,13,32,27,21,16,40,0,27,24,22,16,33,32,42,42,34,19,28,27,23,21,17
Health_Care_Equipment,22,23,25,32,44,25,27,0,19,31,39,26,45,59,58,27,46,36,28,18,25,32
Health_Care_Services,22,35,34,29,34,33,24,19,0,28,29,34,41,51,51,26,35,31,34,26,26,28
Homebuilders,20,36,32,27,33,44,22,31,28,0,28,35,40,55,55,41,36,25,31,28,27,23
Insurance,19,54,43,21,15,53,16,39,29,28,0,51,35,40,41,40,18,37,42,40,32,23
Internet,28,10,18,40,53,34,33,26,34,35,51,0,51,64,63,41,55,30,27,12,28,36
Metals_Mining,34,52,45,32,34,52,32,45,41,40,35,51,0,32,34,46,36,40,41,45,35,31
Oil_Gas_Equipment_Services,46,67,61,40,36,63,42,59,51,55,40,64,32,0,11,54,35,51,55,58,48,41
Oil_Gas_Exploration_Production,44,65,58,40,37,61,42,58,51,55,41,63,34,11,0,53,39,51,54,58,48,42
Pharmaceuticals,28,38,36,38,45,20,34,27,26,41,40,41,46,54,53,0,47,42,38,33,33,39
Regional_Banking,32,59,53,28,1,57,19,46,35,36,18,55,36,35,39,47,0,36,46,47,36,24
Retail,29,36,37,34,34,44,28,36,31,25,37,30,40,51,51,42,36,0,36,31,27,25
Semiconductor,19,20,11,35,44,36,27,28,34,31,42,27,41,55,54,38,46,36,0,18,22,30
Software_Services,17,6,11,30,44,29,23,18,26,28,40,12,45,58,58,33,47,31,18,0,20,29
Telecom,18,27,24,26,33,35,21,25,26,27,32,28,35,48,48,33,36,27,22,20,0,25
Transportation,20,38,32,21,21,44,17,32,28,23,23,36,31,41,42,39,24,25,30,29,25,0
