,SP_500,FactSet_Innovative_Technology,NYSE_Technology,Aerospace_Defense,Banks,Biotech,Capital_Markets,Health_Care_Equipment,Health_Care_Services,Homebuilders,Insurance,Internet,Metals_Mining,Oil_Gas_Equipment_Services,Oil_Gas_Exploration_Production,Pharmaceuticals,Regional_Banking,Retail,Semiconductor,Software_Services,Telecom,Transportation
SP_500,0,73.77259685,49.49341263,64.35011088,78.12981174,87.62980612,51.55940062,67.61305096,67.61305096,64.35011088,62.66442116,76.69940079,84.99775659,100.0359217,97.64105268,76.69940079,82.30336921,78.12981174,62.66442116,59.16886424,60.9385308,64.35011088
FactSet_Innovative_Technology,73.77259685,0,47.34511573,93.9737486,111.5197653,79.53988302,82.30336921,69.19551751,86.32118901,87.62980612,109.2801128,45.10268118,107.0141614,123.4492752,121.3225223,90.20536236,114.8342265,87.62980612,64.35011088,34.81660213,75.24743762,90.20536236
NYSE_Technology,49.49341263,47.34511573,0,87.62980612,103.5611537,83.65875393,75.24743762,72.27342478,84.99775659,82.30336921,96.42904716,60.9385308,98.84320889,117.0164734,113.7351007,87.62980612,108.1505549,88.92431152,47.34511573,47.34511573,70.74832118,82.30336921
Aerospace_Defense,64.35011088,93.9737486,87.62980612,0,73.77259685,97.64105268,65.99873294,82.30336921,78.12981174,75.24743762,65.99873294,92.7295218,82.30336921,92.7295218,92.7295218,90.20536236,76.69940079,84.99775659,86.32118901,79.53988302,73.77259685,65.99873294
Banks,78.12981174,111.5197653,103.5611537,73.77259685,0,110.4030988,57.35131044,97.64105268,84.99775659,83.65875393,55.4811033,108.1505549,84.99775659,87.62980612,88.92431152,98.84320889,14.15394733,84.99775659,97.64105268,97.64105268,83.65875393,65.99873294
Biotech,87.62980612,79.53988302,83.65875393,97.64105268,110.4030988,0,92.7295218,72.27342478,83.65875393,97.64105268,108.1505549,84.99775659,107.0141614,119.1787306,117.0164734,64.35011088,112.630355,97.64105268,87.62980612,78.12981174,86.32118901,97.64105268
Capital_Markets,51.55940062,82.30336921,75.24743762,65.99873294,57.35131044,92.7295218,0,75.24743762,70.74832118,67.61305096,57.35131044,83.65875393,82.30336921,95.20676361,95.20676361,84.99775659,62.66442116,76.69940079,75.24743762,69.19551751,65.99873294,59.16886424
Health_Care_Equipment,67.61305096,69.19551751,72.27342478,82.30336921,97.64105268,72.27342478,75.24743762,0,62.66442116,80.9307274,91.47357359,73.77259685,98.84320889,114.8342265,113.7351007,75.24743762,100.0359217,87.62980612,76.69940079,60.9385308,72.27342478,82.30336921
Health_Care_Services,67.61305096,86.32118901,84.99775659,78.12981174,84.99775659,83.65875393,70.74832118,62.66442116,0,76.69940079,78.12981174,84.99775659,93.9737486,105.8706574,105.8706574,73.77259685,86.32118901,80.9307274,84.99775659,73.77259685,73.77259685,76.69940079
Homebuilders,64.35011088,87.62980612,82.30336921,75.24743762,83.65875393,97.64105268,67.61305096,80.9307274,76.69940079,0,76.69940079,86.32118901,92.7295218,110.4030988,110.4030988,93.9737486,87.62980612,72.27342478,80.9307274,76.69940079,75.24743762,69.19551751
Insurance,62.66442116,109.2801128,96.42904716,65.99873294,55.4811033,108.1505549,57.35131044,91.47357359,78.12981174,76.69940079,0,105.8706574,86.32118901,92.7295218,93.9737486,92.7295218,60.9385308,88.92431152,95.20676361,92.7295218,82.30336921,69.19551751
