input_file,status,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae

treemetric_n20_k1_idx1.csv,OK,18,37,2.880625,0,A,B,0
manhattan_n1000_k160_d2_s1.csv,TIMEOUT,,,600.624012,,,,


manhattan_n10_k20_d2_s1.csv,OK,38,105,0.231748,0,v1,v2,0
manhattan_n10_k20_d2_s2.csv,OK,36,96,0.248715,0,v1,v2,0
manhattan_n10_k20_d2_s3.csv,OK,53,136,0.294725,0,v1,v2,0
manhattan_n10_k20_d2_s4.csv,OK,30,82,0.219199,0,v1,v2,0
manhattan_n10_k20_d2_s5.csv,OK,36,111,0.223123,0,v1,v2,0
manhattan_n10_k20_d2_s6.csv,OK,50,124,0.268783,0,v1,v2,0
manhattan_n10_k20_d2_s7.csv,OK,35,90,0.224662,0,v1,v2,0
manhattan_n10_k20_d2_s8.csv,OK,51,136,0.285676,0,v1,v2,0
manhattan_n10_k20_d2_s9.csv,OK,55,137,0.298278,0,v1,v2,0
manhattan_n10_k20_d2_s10.csv,OK,34,104,0.224986,0,v1,v2,0

manhattan_n20_k20_d2_s1.csv,OK,97,283,0.447869,0,v1,v2,0
manhattan_n20_k20_d2_s2.csv,OK,78,270,0.393071,0,v1,v2,0
manhattan_n20_k20_d2_s3.csv,OK,76,262,0.381605,0,v1,v2,0
manhattan_n20_k20_d2_s4.csv,OK,49,165,0.277346,0,v1,v2,0
manhattan_n20_k20_d2_s5.csv,OK,48,211,0.273764,0,v1,v2,0
manhattan_n20_k20_d2_s6.csv,OK,77,304,0.379907,0,v1,v2,0
manhattan_n20_k20_d2_s7.csv,OK,101,305,0.506777,0,v1,v2,0
manhattan_n20_k20_d2_s8.csv,OK,121,344,0.592159,0,v1,v2,0
manhattan_n20_k20_d2_s9.csv,OK,79,246,0.382318,0,v1,v2,0
manhattan_n20_k20_d2_s10.csv,OK,105,324,0.491343,0,v1,v2,0

manhattan_n50_k20_d2_s1.csv,OK,129,777,0.636181,0,v1,v2,0
manhattan_n50_k20_d2_s2.csv,OK,188,1142,1.043231,0,v1,v2,0
manhattan_n50_k20_d2_s3.csv,OK,150,988,0.783975,0,v1,v2,0
manhattan_n50_k20_d2_s4.csv,OK,126,588,0.620841,0,v1,v2,0
manhattan_n50_k20_d2_s5.csv,OK,170,998,0.899075,0,v1,v2,0
manhattan_n50_k20_d2_s6.csv,OK,169,1033,0.903348,0,v1,v2,0
manhattan_n50_k20_d2_s7.csv,OK,185,902,1.033247,0,v1,v2,0
manhattan_n50_k20_d2_s8.csv,OK,151,952,0.815633,0,v1,v2,0
manhattan_n50_k20_d2_s9.csv,OK,171,1053,0.896803,0,v1,v2,0
manhattan_n50_k20_d2_s10.csv,OK,127,848,0.639970,0,v1,v2,0

manhattan_n100_k20_d2_s1.csv,OK,238,2375,1.587571,0,v1,v2,0
manhattan_n100_k20_d2_s2.csv,OK,182,1983,1.013570,0,v1,v2,0
manhattan_n100_k20_d2_s3.csv,OK,191,1994,1.048484,0,v1,v2,0
manhattan_n100_k20_d2_s4.csv,OK,190,1649,1.068453,0,v1,v2,0
manhattan_n100_k20_d2_s5.csv,OK,169,1796,0.930290,0,v1,v2,0
manhattan_n100_k20_d2_s6.csv,OK,207,2261,1.234828,0,v1,v2,0
manhattan_n100_k20_d2_s7.csv,OK,221,2168,1.395603,0,v1,v2,0
manhattan_n100_k20_d2_s8.csv,OK,182,2058,1.027463,0,v1,v2,0
manhattan_n100_k20_d2_s9.csv,OK,221,2167,1.385012,0,v1,v2,0
manhattan_n100_k20_d2_s10.csv,OK,138,1349,0.669033,0,v1,v2,0

manhattan_n200_k20_d2_s1.csv,OK,281,5128,2.079984,0,v1,v2,0
manhattan_n200_k20_d2_s2.csv,OK,255,5151,1.759744,0,v1,v2,0
manhattan_n200_k20_d2_s3.csv,OK,146,3178,0.762812,0,v1,v2,0
manhattan_n200_k20_d2_s4.csv,OK,217,3190,1.319005,0,v1,v2,0
manhattan_n200_k20_d2_s5.csv,OK,205,3840,1.255439,0,v1,v2,0
manhattan_n200_k20_d2_s6.csv,OK,233,4662,1.532512,0,v1,v2,0
manhattan_n200_k20_d2_s7.csv,OK,222,4316,1.434387,0,v1,v2,0
manhattan_n200_k20_d2_s8.csv,OK,171,3563,0.910548,0,v1,v2,0
manhattan_n200_k20_d2_s9.csv,OK,197,3970,1.197283,0,v1,v2,0
manhattan_n200_k20_d2_s10.csv,OK,187,3992,1.077585,0,v1,v2,0

manhattan_n500_k20_d2_s1.csv,OK,263,13715,1.902608,0,v1,v2,0
manhattan_n500_k20_d2_s2.csv,OK,207,11466,1.281343,0,v1,v2,0
manhattan_n500_k20_d2_s3.csv,OK,199,10809,1.210187,0,v1,v2,0
manhattan_n500_k20_d2_s4.csv,OK,279,10135,2.094018,0,v1,v2,0
manhattan_n500_k20_d2_s5.csv,OK,226,10106,1.472798,0,v1,v2,0
manhattan_n500_k20_d2_s6.csv,OK,270,12989,1.973487,0,v1,v2,0
manhattan_n500_k20_d2_s7.csv,OK,214,10372,1.325296,0,v1,v2,0
manhattan_n500_k20_d2_s8.csv,OK,246,13351,1.653433,0,v1,v2,0
manhattan_n500_k20_d2_s9.csv,OK,204,9302,1.220108,0,v1,v2,0
manhattan_n500_k20_d2_s10.csv,OK,251,11271,1.704023,0,v1,v2,0

manhattan_n1000_k20_d2_s1.csv,OK,248,25449,2.279193,0,v1,v2,0
manhattan_n1000_k20_d2_s2.csv,OK,247,24280,1.676989,0,v1,v2,0
manhattan_n1000_k20_d2_s3.csv,OK,217,22178,1.328189,0,v1,v2,0
manhattan_n1000_k20_d2_s4.csv,OK,230,14859,1.456302,0,v1,v2,0
manhattan_n1000_k20_d2_s5.csv,OK,242,24153,1.603949,0,v1,v2,0
manhattan_n1000_k20_d2_s6.csv,OK,239,23475,1.502279,0,v1,v2,0
manhattan_n1000_k20_d2_s7.csv,OK,224,20927,1.437973,0,v1,v2,0
manhattan_n1000_k20_d2_s8.csv,OK,244,24157,1.658406,0,v1,v2,0
manhattan_n1000_k20_d2_s9.csv,OK,251,24908,1.689150,0,v1,v2,0
manhattan_n1000_k20_d2_s10.csv,OK,241,22958,1.563247,0,v1,v2,0


manhattan_n50_k5_d2_s1.csv,OK,2,72,0.102594,0,v1,v2,0
manhattan_n50_k5_d2_s2.csv,OK,2,70,0.097809,0,v1,v2,0
manhattan_n50_k5_d2_s3.csv,OK,2,138,0.099951,0,v1,v2,0
manhattan_n50_k5_d2_s4.csv,OK,5,72,0.106933,0,v1,v2,0
manhattan_n50_k5_d2_s5.csv,OK,4,100,0.099464,0,v1,v2,0
manhattan_n50_k5_d2_s6.csv,OK,5,130,0.101855,0,v1,v2,0
manhattan_n50_k5_d2_s7.csv,OK,4,66,0.099607,0,v1,v2,0
manhattan_n50_k5_d2_s8.csv,OK,2,92,0.090905,0,v1,v2,0
manhattan_n50_k5_d2_s9.csv,OK,3,68,0.097653,0,v1,v2,0
manhattan_n50_k5_d2_s10.csv,OK,7,141,0.109897,0,v1,v2,0

manhattan_n50_k10_d2_s1.csv,OK,29,300,0.178274,0,v1,v2,0
manhattan_n50_k10_d2_s2.csv,OK,45,487,0.211383,0,v1,v2,0
manhattan_n50_k10_d2_s3.csv,OK,36,433,0.186336,0,v1,v2,0
manhattan_n50_k10_d2_s4.csv,OK,32,216,0.515679,0,v1,v2,0
