,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28
v1,0.0,48.0,8.0,45.0,47.0,33.0,58.0,21.0,17.0,67.0,42.0,31.0,44.0,14.0,6.0,34.0,17.0,45.0,46.0,16.0,14.0,44.0,47.0,51.0,38.0,63.0,46.0,50.0,51.0,62.0,20.0,55.0,56.0,49.0,57.0,23.0,22.0,59.0,27.0
v2,48.0,0.0,40.0,9.0,33.0,19.0,18.0,41.0,53.0,19.0,6.0,17.0,4.0,34.0,42.0,20.0,37.0,31.0,32.0,36.0,34.0,8.0,7.0,3.0,24.0,15.0,6.0,2.0,11.0,14.0,28.0,7.0,20.0,13.0,21.0,31.0,30.0,19.0,35.0
v3,8.0,40.0,0.0,37.0,39.0,25.0,50.0,13.0,25.0,59.0,34.0,23.0,36.0,6.0,14.0,26.0,9.0,37.0,38.0,8.0,6.0,36.0,39.0,43.0,30.0,55.0,38.0,42.0,43.0,54.0,12.0,47.0,48.0,41.0,49.0,15.0,14.0,51.0,19.0
v4,45.0,9.0,37.0,0.0,24.0,12.0,13.0,32.0,50.0,22.0,3.0,14.0,5.0,31.0,39.0,11.0,28.0,22.0,23.0,29.0,31.0,1.0,2.0,6.0,15.0,18.0,3.0,7.0,6.0,17.0,25.0,10.0,11.0,4.0,12.0,22.0,23.0,14.0,26.0
v5,47.0,33.0,39.0,24.0,0.0,14.0,15.0,26.0,52.0,22.0,27.0,16.0,29.0,33.0,41.0,13.0,30.0,2.0,1.0,31.0,33.0,25.0,26.0,30.0,9.0,18.0,27.0,31.0,22.0,19.0,27.0,26.0,13.0,20.0,12.0,24.0,25.0,14.0,20.0
v6,33.0,19.0,25.0,12.0,14.0,0.0,25.0,22.0,38.0,34.0,13.0,2.0,15.0,19.0,27.0,1.0,18.0,12.0,13.0,17.0,19.0,11.0,14.0,18.0,5.0,30.0,13.0,17.0,18.0,29.0,13.0,22.0,23.0,16.0,24.0,12.0,11.0,26.0,16.0
v7,58.0,18.0,50.0,13.0,15.0,25.0,0.0,37.0,63.0,9.0,16.0,27.0,14.0,44.0,52.0,24.0,41.0,13.0,14.0,42.0,44.0,14.0,11.0,15.0,20.0,5.0,12.0,16.0,7.0,4.0,38.0,11.0,2.0,9.0,3.0,35.0,36.0,1.0,31.0
v8,21.0,41.0,13.0,32.0,26.0,22.0,37.0,0.0,38.0,46.0,35.0,24.0,37.0,7.0,27.0,21.0,4.0,24.0,25.0,5.0,19.0,33.0,34.0,38.0,17.0,42.0,35.0,39.0,30.0,41.0,13.0,34.0,35.0,28.0,36.0,10.0,11.0,38.0,6.0
v9,17.0,53.0,25.0,50.0,52.0,38.0,63.0,38.0,0.0,72.0,47.0,36.0,49.0,31.0,11.0,39.0,34.0,50.0,51.0,33.0,19.0,49.0,52.0,56.0,43.0,68.0,51.0,55.0,56.0,67.0,25.0,60.0,61.0,54.0,62.0,28.0,27.0,64.0,32.0
v10,67.0,19.0,59.0,22.0,22.0,34.0,9.0,46.0,72.0,0.0,25.0,36.0,23.0,53.0,61.0,33.0,50.0,22.0,21.0,51.0,53.0,23.0,20.0,16.0,29.0,4.0,21.0,17.0,16.0,5.0,47.0,12.0,11.0,18.0,10.0,44.0,45.0,8.0,40.0
m0,42.0,6.0,34.0,3.0,27.0,13.0,16.0,35.0,47.0,25.0,0.0,11.0,2.0,28.0,36.0,14.0,31.0,25.0,26.0,30.0,28.0,2.0,5.0,9.0,18.0,21.0,4.0,8.0,9.0,20.0,22.0,13.0,14.0,7.0,15.0,25.0,24.0,17.0,29.0
m1,31.0,17.0,23.0,14.0,16.0,2.0,27.0,24.0,36.0,36.0,11.0,0.0,13.0,17.0,25.0,3.0,20.0,14.0,15.0,19.0,17.0,13.0,16.0,20.0,7.0,32.0,15.0,19.0,20.0,31.0,11.0,24.0,25.0,18.0,26.0,14.0,13.0,28.0,18.0
m2,44.0,4.0,36.0,5.0,29.0,15.0,14.0,37.0,49.0,23.0,2.0,13.0,0.0,30.0,38.0,16.0,33.0,27.0,28.0,32.0,30.0,4.0,3.0,7.0,20.0,19.0,2.0,6.0,7.0,18.0,24.0,11.0,16.0,9.0,17.0,27.0,26.0,15.0,31.0
m3,14.0,34.0,6.0,31.0,33.0,19.0,44.0,7.0,31.0,53.0,28.0,17.0,30.0,0.0,20.0,20.0,3.0,31.0,32.0,2.0,12.0,30.0,33.0,37.0,24.0,49.0,32.0,36.0,37.0,48.0,6.0,41.0,42.0,35.0,43.0,9.0,8.0,45.0,13.0
m4,6.0,42.0,14.0,39.0,41.0,27.0,52.0,27.0,11.0,61.0,36.0,25.0,38.0,20.0,0.0,28.0,23.0,39.0,40.0,22.0,8.0,38.0,41.0,45.0,32.0,57.0,40.0,44.0,45.0,56.0,14.0,49.0,50.0,43.0,51.0,17.0,16.0,53.0,21.0
m5,34.0,20.0,26.0,11.0,13.0,1.0,24.0,21.0,39.0,33.0,14.0,3.0,16.0,20.0,28.0,0.0,17.0,11.0,12.0,18.0,20.0,12.0,13.0,17.0,4.0,29.0,14.0,18.0,17.0,28.0,14.0,21.0,22.0,15.0,23.0,11.0,12.0,25.0,15.0
m6,17.0,37.0,9.0,28.0,30.0,18.0,41.0,4.0,34.0,50.0,31.0,20.0,33.0,3.0,23.0,17.0,0.0,28.0,29.0,1.0,15.0,29.0,30.0,34.0,21.0,46.0,31.0,35.0,34.0,45.0,9.0,38.0,39.0,32.0,40.0,6.0,7.0,42.0,10.0
m7,45.0,31.0,37.0,22.0,2.0,12.0,13.0,24.0,50.0,22.0,25.0,14.0,27.0,31.0,39.0,11.0,28.0,0.0,1.0,29.0,31.0,23.0,24.0,28.0,7.0,18.0,25.0,29.0,20.0,17.0,25.0,24.0,11.0,18.0,12.0,22.0,23.0,14.0,18.0
m8,46.0,32.0,38.0,23.0,1.0,13.0,14.0,25.0,51.0,21.0,26.0,15.0,28.0,32.0,40.0,12.0,29.0,1.0,0.0,30.0,32.0,24.0,25.0,29.0,8.0,17.0,26.0,30.0,21.0,18.0,26.0,25.0,12.0,19.0,11.0,23.0,24.0,13.0,19.0
m9,16.0,36.0,8.0,29.0,31.0,17.0,42.0,5.0,33.0,51.0,30.0,19.0,32.0,2.0,22.0,18.0,1.0,29.0,30.0,0.0,14.0,28.0,31.0,35.0,22.0,47.0,30.0,34.0,35.0,46.0,8.0,39.0,40.0,33.0,41.0,7.0,6.0,43.0,11.0
m10,14.0,34.0,6.0,31.0,33.0,19.0,44.0,19.0,19.0,53.0,28.0,17.0,30.0,12.0,8.0,20.0,15.0,31.0,32.0,14.0,0.0,30.0,33.0,37.0,24.0,49.0,32.0,36.0,37.0,48.0,6.0,41.0,42.0,35.0,43.0,9.0,8.0,45.0,13.0
m11,44.0,8.0,36.0,1.0,25.0,11.0,14.0,33.0,49.0,23.0,2.0,13.0,4.0,30.0,38.0,12.0,29.0,23.0,24.0,28.0,30.0,0.0,3.0,7.0,16.0,19.0,2.0,6.0,7.0,18.0,24.0,11.0,12.0,5.0,13.0,23.0,22.0,15.0,27.0
m12,47.0,7.0,39.0,2.0,26.0,14.0,11.0,34.0,52.0,20.0,5.0,16.0,3.0,33.0,41.0,13.0,30.0,24.0,25.0,31.0,33.0,3.0,0.0,4.0,17.0,16.0,1.0,5.0,4.0,15.0,27.0,8.0,13.0,6.0,14.0,24.0,25.0,12.0,28.0
m13,51.0,3.0,43.0,6.0,30.0,18.0,15.0,38.0,56.0,16.0,9.0,20.0,7.0,37.0,45.0,17.0,34.0,28.0,29.0,35.0,37.0,7.0,4.0,0.0,21.0,12.0,5.0,1.0,8.0,11.0,31.0,4.0,17.0,10.0,18.0,28.0,29.0,16.0,32.0
m14,38.0,24.0,30.0,15.0,9.0,5.0,20.0,17.0,43.0,29.0,18.0,7.0,20.0,24.0,32.0,4.0,21.0,7.0,8.0,22.0,24.0,16.0,17.0,21.0,0.0,25.0,18.0,22.0,13.0,24.0,18.0,17.0,18.0,11.0,19.0,15.0,16.0,21.0,11.0
m15,63.0,15.0,55.0,18.0,18.0,30.0,5.0,42.0,68.0,4.0,21.0,32.0,19.0,49.0,57.0,29.0,46.0,18.0,17.0,47.0,49.0,19.0,16.0,12.0,25.0,0.0,17.0,13.0,12.0,1.0,43.0,8.0,7.0,14.0,6.0,40.0,41.0,4.0,36.0
m16,46.0,6.0,38.0,3.0,27.0,13.0,12.0,35.0,51.0,21.0,4.0,15.0,2.0,32.0,40.0,14.0,31.0,25.0,26.0,30.0,32.0,2.0,1.0,5.0,18.0,17.0,0.0,4.0,5.0,16.0,26.0,9.0,14.0,7.0,15.0,25.0,24.0,13.0,29.0
m17,50.0,2.0,42.0,7.0,31.0,17.0,16.0,39.0,55.0,17.0,8.0,19.0,6.0,36.0,44.0,18.0,35.0,29.0,30.0,34.0,36.0,6.0,5.0,1.0,22.0,13.0,4.0,0.0,9.0,12.0,30.0,5.0,18.0,11.0,19.0,29.0,28.0,17.0,33.0
m18,51.0,11.0,43.0,6.0,22.0,18.0,7.0,30.0,56.0,16.0,9.0,20.0,7.0,37.0,45.0,17.0,34.0,20.0,21.0,35.0,37.0,7.0,4.0,8.0,13.0,12.0,5.0,9.0,0.0,11.0,31.0,4.0,9.0,2.0,10.0,28.0,29.0,8.0,24.0
m19,62.0,14.0,54.0,17.0,19.0,29.0,4.0,41.0,67.0,5.0,20.0,31.0,18.0,48.0,56.0,28.0,45.0,17.0,18.0,46.0,48.0,18.0,15.0,11.0,24.0,1.0,16.0,12.0,11.0,0.0,42.0,7.0,6.0,13.0,7.0,39.0,40.0,5.0,35.0
m20,20.0,28.0,12.0,25.0,27.0,13.0,38.0,13.0,25.0,47.0,22.0,11.0,24.0,6.0,14.0,14.0,9.0,25.0,26.0,8.0,6.0,24.0,27.0,31.0,18.0,43.0,26.0,30.0,31.0,42.0,0.0,35.0,36.0,29.0,37.0,3.0,2.0,39.0,7.0
m21,55.0,7.0,47.0,10.0,26.0,22.0,11.0,34.0,60.0,12.0,13.0,24.0,11.0,41.0,49.0,21.0,38.0,24.0,25.0,39.0,41.0,11.0,8.0,4.0,17.0,8.0,9.0,5.0,4.0,7.0,35.0,0.0,13.0,6.0,14.0,32.0,33.0,12.0,28.0
m22,56.0,20.0,48.0,11.0,13.0,23.0,2.0,35.0,61.0,11.0,14.0,25.0,16.0,42.0,50.0,22.0,39.0,11.0,12.0,40.0,42.0,12.0,13.0,17.0,18.0,7.0,14.0,18.0,9.0,6.0,36.0,13.0,0.0,7.0,1.0,33.0,34.0,3.0,29.0
m23,49.0,13.0,41.0,4.0,20.0,16.0,9.0,28.0,54.0,18.0,7.0,18.0,9.0,35.0,43.0,15.0,32.0,18.0,19.0,33.0,35.0,5.0,6.0,10.0,11.0,14.0,7.0,11.0,2.0,13.0,29.0,6.0,7.0,0.0,8.0,26.0,27.0,10.0,22.0
m24,57.0,21.0,49.0,12.0,12.0,24.0,3.0,36.0,62.0,10.0,15.0,26.0,17.0,43.0,51.0,23.0,40.0,12.0,11.0,41.0,43.0,13.0,14.0,18.0,19.0,6.0,15.0,19.0,10.0,7.0,37.0,14.0,1.0,8.0,0.0,34.0,35.0,2.0,30.0
m25,23.0,31.0,15.0,22.0,24.0,12.0,35.0,10.0,28.0,44.0,25.0,14.0,27.0,9.0,17.0,11.0,6.0,22.0,23.0,7.0,9.0,23.0,24.0,28.0,15.0,40.0,25.0,29.0,28.0,39.0,3.0,32.0,33.0,26.0,34.0,0.0,1.0,36.0,4.0
m26,22.0,30.0,14.0,23.0,25.0,11.0,36.0,11.0,27.0,45.0,24.0,13.0,26.0,8.0,16.0,12.0,7.0,23.0,24.0,6.0,8.0,22.0,25.0,29.0,16.0,41.0,24.0,28.0,29.0,40.0,2.0,33.0,34.0,27.0,35.0,1.0,0.0,37.0,5.0
m27,59.0,19.0,51.0,14.0,14.0,26.0,1.0,38.0,64.0,8.0,17.0,28.0,15.0,45.0,53.0,25.0,42.0,14.0,13.0,43.0,45.0,15.0,12.0,16.0,21.0,4.0,13.0,17.0,8.0,5.0,39.0,12.0,3.0,10.0,2.0,36.0,37.0,0.0,32.0
m28,27.0,35.0,19.0,26.0,20.0,16.0,31.0,6.0,32.0,40.0,29.0,18.0,31.0,13.0,21.0,15.0,10.0,18.0,19.0,11.0,13.0,27.0,28.0,32.0,11.0,36.0,29.0,33.0,24.0,35.0,7.0,28.0,29.0,22.0,30.0,4.0,5.0,32.0,0.0
