,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35
v1,0.0,39.0,49.0,61.0,24.0,30.0,21.0,14.0,37.0,19.0,29.0,31.0,16.0,24.0,8.0,9.0,8.0,13.0,29.0,14.0,12.0,6.0,15.0,1.0,51.0,37.0,35.0,42.0,22.0,37.0,44.0,59.0,32.0,22.0,17.0,20.0,9.0,57.0,21.0,14.0,37.0,44.0,52.0,15.0,13.0,7.0
v2,39.0,0.0,30.0,38.0,31.0,21.0,44.0,53.0,58.0,42.0,10.0,8.0,23.0,15.0,31.0,30.0,31.0,52.0,50.0,37.0,35.0,45.0,36.0,40.0,28.0,2.0,16.0,23.0,43.0,14.0,21.0,36.0,7.0,29.0,22.0,27.0,32.0,38.0,44.0,37.0,28.0,35.0,43.0,38.0,36.0,46.0
v3,49.0,30.0,0.0,12.0,57.0,19.0,70.0,37.0,28.0,68.0,20.0,22.0,49.0,25.0,57.0,40.0,41.0,36.0,20.0,63.0,61.0,43.0,34.0,50.0,2.0,28.0,14.0,7.0,27.0,16.0,9.0,10.0,33.0,55.0,48.0,53.0,58.0,8.0,28.0,35.0,12.0,5.0,13.0,64.0,62.0,44.0
v4,61.0,38.0,12.0,0.0,69.0,31.0,82.0,49.0,24.0,80.0,32.0,30.0,61.0,37.0,69.0,52.0,53.0,48.0,32.0,75.0,73.0,55.0,46.0,62.0,10.0,40.0,26.0,19.0,39.0,24.0,17.0,2.0,45.0,67.0,60.0,65.0,70.0,4.0,40.0,47.0,24.0,17.0,9.0,76.0,74.0,56.0
v5,24.0,31.0,57.0,69.0,0.0,38.0,17.0,38.0,45.0,19.0,37.0,39.0,8.0,32.0,16.0,17.0,16.0,37.0,37.0,10.0,12.0,30.0,23.0,25.0,59.0,29.0,43.0,50.0,30.0,45.0,52.0,67.0,24.0,2.0,9.0,4.0,17.0,65.0,29.0,22.0,45.0,52.0,60.0,11.0,13.0,31.0
v6,30.0,21.0,19.0,31.0,38.0,0.0,51.0,32.0,37.0,49.0,11.0,13.0,30.0,6.0,38.0,21.0,22.0,31.0,29.0,44.0,42.0,24.0,15.0,31.0,21.0,19.0,5.0,12.0,22.0,7.0,14.0,29.0,14.0,36.0,29.0,34.0,39.0,27.0,23.0,16.0,7.0,14.0,22.0,45.0,43.0,25.0
v7,21.0,44.0,70.0,82.0,17.0,51.0,0.0,33.0,58.0,2.0,50.0,52.0,21.0,45.0,13.0,30.0,29.0,34.0,50.0,7.0,9.0,27.0,36.0,20.0,72.0,42.0,56.0,63.0,43.0,58.0,65.0,80.0,37.0,15.0,22.0,17.0,12.0,78.0,42.0,35.0,58.0,65.0,73.0,6.0,8.0,26.0
v8,14.0,53.0,37.0,49.0,38.0,32.0,33.0,0.0,25.0,31.0,43.0,45.0,30.0,38.0,22.0,23.0,22.0,1.0,17.0,28.0,26.0,8.0,17.0,13.0,39.0,51.0,37.0,30.0,10.0,39.0,32.0,47.0,46.0,36.0,31.0,34.0,21.0,45.0,9.0,16.0,25.0,32.0,40.0,27.0,25.0,7.0
v9,37.0,58.0,28.0,24.0,45.0,37.0,58.0,25.0,0.0,56.0,48.0,50.0,37.0,43.0,45.0,28.0,29.0,24.0,8.0,51.0,49.0,31.0,22.0,38.0,30.0,56.0,42.0,35.0,15.0,44.0,37.0,22.0,51.0,43.0,36.0,41.0,46.0,20.0,16.0,23.0,30.0,23.0,15.0,52.0,50.0,32.0
v10,19.0,42.0,68.0,80.0,19.0,49.0,2.0,31.0,56.0,0.0,48.0,50.0,19.0,43.0,11.0,28.0,27.0,32.0,48.0,9.0,7.0,25.0,34.0,18.0,70.0,40.0,54.0,61.0,41.0,56.0,63.0,78.0,35.0,17.0,20.0,15.0,10.0,76.0,40.0,33.0,56.0,63.0,71.0,8.0,6.0,24.0
m0,29.0,10.0,20.0,32.0,37.0,11.0,50.0,43.0,48.0,48.0,0.0,2.0,29.0,5.0,37.0,20.0,21.0,42.0,40.0,43.0,41.0,35.0,26.0,30.0,22.0,8.0,6.0,13.0,33.0,8.0,15.0,30.0,13.0,35.0,28.0,33.0,38.0,28.0,34.0,27.0,18.0,25.0,33.0,44.0,42.0,36.0
m1,31.0,8.0,22.0,30.0,39.0,13.0,52.0,45.0,50.0,50.0,2.0,0.0,31.0,7.0,39.0,22.0,23.0,44.0,42.0,45.0,43.0,37.0,28.0,32.0,20.0,10.0,8.0,15.0,35.0,6.0,13.0,28.0,15.0,37.0,30.0,35.0,40.0,30.0,36.0,29.0,20.0,27.0,35.0,46.0,44.0,38.0
m2,16.0,23.0,49.0,61.0,8.0,30.0,21.0,30.0,37.0,19.0,29.0,31.0,0.0,24.0,8.0,9.0,8.0,29.0,29.0,14.0,12.0,22.0,15.0,17.0,51.0,21.0,35.0,42.0,22.0,37.0,44.0,59.0,16.0,6.0,1.0,4.0,9.0,57.0,21.0,14.0,37.0,44.0,52.0,15.0,13.0,23.0
m3,24.0,15.0,25.0,37.0,32.0,6.0,45.0,38.0,43.0,43.0,5.0,7.0,24.0,0.0,32.0,15.0,16.0,37.0,35.0,38.0,36.0,30.0,21.0,25.0,27.0,13.0,11.0,18.0,28.0,13.0,20.0,35.0,8.0,30.0,23.0,28.0,33.0,33.0,29.0,22.0,13.0,20.0,28.0,39.0,37.0,31.0
m4,8.0,31.0,57.0,69.0,16.0,38.0,13.0,22.0,45.0,11.0,37.0,39.0,8.0,32.0,0.0,17.0,16.0,21.0,37.0,6.0,4.0,14.0,23.0,9.0,59.0,29.0,43.0,50.0,30.0,45.0,52.0,67.0,24.0,14.0,9.0,12.0,1.0,65.0,29.0,22.0,45.0,52.0,60.0,7.0,5.0,15.0
m5,9.0,30.0,40.0,52.0,17.0,21.0,30.0,23.0,28.0,28.0,20.0,22.0,9.0,15.0,17.0,0.0,1.0,22.0,20.0,23.0,21.0,15.0,6.0,10.0,42.0,28.0,26.0,33.0,13.0,28.0,35.0,50.0,23.0,15.0,8.0,13.0,18.0,48.0,14.0,7.0,28.0,35.0,43.0,24.0,22.0,16.0
m6,8.0,31.0,41.0,53.0,16.0,22.0,29.0,22.0,29.0,27.0,21.0,23.0,8.0,16.0,16.0,1.0,0.0,21.0,21.0,22.0,20.0,14.0,7.0,9.0,43.0,29.0,27.0,34.0,14.0,29.0,36.0,51.0,24.0,14.0,9.0,12.0,17.0,49.0,13.0,6.0,29.0,36.0,44.0,23.0,21.0,15.0
m7,13.0,52.0,36.0,48.0,37.0,31.0,34.0,1.0,24.0,32.0,42.0,44.0,29.0,37.0,21.0,22.0,21.0,0.0,16.0,27.0,25.0,7.0,16.0,14.0,38.0,50.0,36.0,29.0,9.0,38.0,31.0,46.0,45.0,35.0,30.0,33.0,22.0,44.0,8.0,15.0,24.0,31.0,39.0,28.0,26.0,8.0
m8,29.0,50.0,20.0,32.0,37.0,29.0,50.0,17.0,8.0,48.0,40.0,42.0,29.0,35.0,37.0,20.0,21.0,16.0,0.0,43.0,41.0,23.0,14.0,30.0,22.0,48.0,34.0,27.0,7.0,36.0,29.0,30.0,43.0,35.0,28.0,33.0,38.0,28.0,8.0,15.0,22.0,15.0,23.0,44.0,42.0,24.0
m9,14.0,37.0,63.0,75.0,10.0,44.0,7.0,28.0,51.0,9.0,43.0,45.0,14.0,38.0,6.0,23.0,22.0,27.0,43.0,0.0,2.0,20.0,29.0,15.0,65.0,35.0,49.0,56.0,36.0,51.0,58.0,73.0,30.0,8.0,15.0,10.0,7.0,71.0,35.0,28.0,51.0,58.0,66.0,1.0,3.0,21.0
m10,12.0,35.0,61.0,73.0,12.0,42.0,9.0,26.0,49.0,7.0,41.0,43.0,12.0,36.0,4.0,21.0,20.0,25.0,41.0,2.0,0.0,18.0,27.0,13.0,63.0,33.0,47.0,54.0,34.0,49.0,56.0,71.0,28.0,10.0,13.0,8.0,5.0,69.0,33.0,26.0,49.0,56.0,64.0,3.0,1.0,19.0
m11,6.0,45.0,43.0,55.0,30.0,24.0,27.0,8.0,31.0,25.0,35.0,37.0,22.0,30.0,14.0,15.0,14.0,7.0,23.0,20.0,18.0,0.0,9.0,7.0,45.0,43.0,29.0,36.0,16.0,31.0,38.0,53.0,38.0,28.0,23.0,26.0,15.0,51.0,15.0,8.0,31.0,38.0,46.0,21.0,19.0,1.0
m12,15.0,36.0,34.0,46.0,23.0,15.0,36.0,17.0,22.0,34.0,26.0,28.0,15.0,21.0,23.0,6.0,7.0,16.0,14.0,29.0,27.0,9.0,0.0,16.0,36.0,34.0,20.0,27.0,7.0,22.0,29.0,44.0,29.0,21.0,14.0,19.0,24.0,42.0,8.0,1.0,22.0,29.0,37.0,30.0,28.0,10.0
m13,1.0,40.0,50.0,62.0,25.0,31.0,20.0,13.0,38.0,18.0,30.0,32.0,17.0,25.0,9.0,10.0,9.0,14.0,30.0,15.0,13.0,7.0,16.0,0.0,52.0,38.0,36.0,43.0,23.0,38.0,45.0,60.0,33.0,23.0,18.0,21.0,8.0,58.0,22.0,15.0,38.0,45.0,53.0,14.0,12.0,6.0
m14,51.0,28.0,2.0,10.0,59.0,21.0,72.0,39.0,30.0,70.0,22.0,20.0,51.0,27.0,59.0,42.0,43.0,38.0,22.0,65.0,63.0,45.0,36.0,52.0,0.0,30.0,16.0,9.0,29.0,14.0,7.0,8.0,35.0,57.0,50.0,55.0,60.0,10.0,30.0,37.0,14.0,7.0,15.0,66.0,64.0,46.0
m15,37.0,2.0,28.0,40.0,29.0,19.0,42.0,51.0,56.0,40.0,8.0,10.0,21.0,13.0,29.0,28.0,29.0,50.0,48.0,35.0,33.0,43.0,34.0,38.0,30.0,0.0,14.0,21.0,41.0,16.0,23.0,38.0,5.0,27.0,20.0,25.0,30.0,36.0,42.0,35.0,26.0,33.0,41.0,36.0,34.0,44.0
m16,35.0,16.0,14.0,26.0,43.0,5.0,56.0,37.0,42.0,54.0,6.0,8.0,35.0,11.0,43.0,26.0,27.0,36.0,34.0,49.0,47.0,29.0,20.0,36.0,16.0,14.0,0.0,7.0,27.0,2.0,9.0,24.0,19.0,41.0,34.0,39.0,44.0,22.0,28.0,21.0,12.0,19.0,27.0,50.0,48.0,30.0
m17,42.0,23.0,7.0,19.0,50.0,12.0,63.0,30.0,35.0,61.0,13.0,15.0,42.0,18.0,50.0,33.0,34.0,29.0,27.0,56.0,54.0,36.0,27.0,43.0,9.0,21.0,7.0,0.0,20.0,9.0,2.0,17.0,26.0,48.0,41.0,46.0,51.0,15.0,21.0,28.0,5.0,12.0,20.0,57.0,55.0,37.0
m18,22.0,43.0,27.0,39.0,30.0,22.0,43.0,10.0,15.0,41.0,33.0,35.0,22.0,28.0,30.0,13.0,14.0,9.0,7.0,36.0,34.0,16.0,7.0,23.0,29.0,41.0,27.0,20.0,0.0,29.0,22.0,37.0,36.0,28.0,21.0,26.0,31.0,35.0,1.0,8.0,15.0,22.0,30.0,37.0,35.0,17.0
m19,37.0,14.0,16.0,24.0,45.0,7.0,58.0,39.0,44.0,56.0,8.0,6.0,37.0,13.0,45.0,28.0,29.0,38.0,36.0,51.0,49.0,31.0,22.0,38.0,14.0,16.0,2.0,9.0,29.0,0.0,7.0,22.0,21.0,43.0,36.0,41.0,46.0,24.0,30.0,23.0,14.0,21.0,29.0,52.0,50.0,32.0
m20,44.0,21.0,9.0,17.0,52.0,14.0,65.0,32.0,37.0,63.0,15.0,13.0,44.0,20.0,52.0,35.0,36.0,31.0,29.0,58.0,56.0,38.0,29.0,45.0,7.0,23.0,9.0,2.0,22.0,7.0,0.0,15.0,28.0,50.0,43.0,48.0,53.0,17.0,23.0,30.0,7.0,14.0,22.0,59.0,57.0,39.0
m21,59.0,36.0,10.0,2.0,67.0,29.0,80.0,47.0,22.0,78.0,30.0,28.0,59.0,35.0,67.0,50.0,51.0,46.0,30.0,73.0,71.0,53.0,44.0,60.0,8.0,38.0,24.0,17.0,37.0,22.0,15.0,0.0,43.0,65.0,58.0,63.0,68.0,2.0,38.0,45.0,22.0,15.0,7.0,74.0,72.0,54.0
m22,32.0,7.0,33.0,45.0,24.0,14.0,37.0,46.0,51.0,35.0,13.0,15.0,16.0,8.0,24.0,23.0,24.0,45.0,43.0,30.0,28.0,38.0,29.0,33.0,35.0,5.0,19.0,26.0,36.0,21.0,28.0,43.0,0.0,22.0,15.0,20.0,25.0,41.0,37.0,30.0,21.0,28.0,36.0,31.0,29.0,39.0
m23,22.0,29.0,55.0,67.0,2.0,36.0,15.0,36.0,43.0,17.0,35.0,37.0,6.0,30.0,14.0,15.0,14.0,35.0,35.0,8.0,10.0,28.0,21.0,23.0,57.0,27.0,41.0,48.0,28.0,43.0,50.0,65.0,22.0,0.0,7.0,2.0,15.0,63.0,27.0,20.0,43.0,50.0,58.0,9.0,11.0,29.0
m24,17.0,22.0,48.0,60.0,9.0,29.0,22.0,31.0,36.0,20.0,28.0,30.0,1.0,23.0,9.0,8.0,9.0,30.0,28.0,15.0,13.0,23.0,14.0,18.0,50.0,20.0,34.0,41.0,21.0,36.0,43.0,58.0,15.0,7.0,0.0,5.0,10.0,56.0,22.0,15.0,36.0,43.0,51.0,16.0,14.0,24.0
m25,20.0,27.0,53.0,65.0,4.0,34.0,17.0,34.0,41.0,15.0,33.0,35.0,4.0,28.0,12.0,13.0,12.0,33.0,33.0,10.0,8.0,26.0,19.0,21.0,55.0,25.0,39.0,46.0,26.0,41.0,48.0,63.0,20.0,2.0,5.0,0.0,13.0,61.0,25.0,18.0,41.0,48.0,56.0,11.0,9.0,27.0
m26,9.0,32.0,58.0,70.0,17.0,39.0,12.0,21.0,46.0,10.0,38.0,40.0,9.0,33.0,1.0,18.0,17.0,22.0,38.0,7.0,5.0,15.0,24.0,8.0,60.0,30.0,44.0,51.0,31.0,46.0,53.0,68.0,25.0,15.0,10.0,13.0,0.0,66.0,30.0,23.0,46.0,53.0,61.0,6.0,4.0,14.0
m27,57.0,38.0,8.0,4.0,65.0,27.0,78.0,45.0,20.0,76.0,28.0,30.0,57.0,33.0,65.0,48.0,49.0,44.0,28.0,71.0,69.0,51.0,42.0,58.0,10.0,36.0,22.0,15.0,35.0,24.0,17.0,2.0,41.0,63.0,56.0,61.0,66.0,0.0,36.0,43.0,20.0,13.0,5.0,72.0,70.0,52.0
m28,21.0,44.0,28.0,40.0,29.0,23.0,42.0,9.0,16.0,40.0,34.0,36.0,21.0,29.0,29.0,14.0,13.0,8.0,8.0,35.0,33.0,15.0,8.0,22.0,30.0,42.0,28.0,21.0,1.0,30.0,23.0,38.0,37.0,27.0,22.0,25.0,30.0,36.0,0.0,7.0,16.0,23.0,31.0,36.0,34.0,16.0
m29,14.0,37.0,35.0,47.0,22.0,16.0,35.0,16.0,23.0,33.0,27.0,29.0,14.0,22.0,22.0,7.0,6.0,15.0,15.0,28.0,26.0,8.0,1.0,15.0,37.0,35.0,21.0,28.0,8.0,23.0,30.0,45.0,30.0,20.0,15.0,18.0,23.0,43.0,7.0,0.0,23.0,30.0,38.0,29.0,27.0,9.0
m30,37.0,28.0,12.0,24.0,45.0,7.0,58.0,25.0,30.0,56.0,18.0,20.0,37.0,13.0,45.0,28.0,29.0,24.0,22.0,51.0,49.0,31.0,22.0,38.0,14.0,26.0,12.0,5.0,15.0,14.0,7.0,22.0,21.0,43.0,36.0,41.0,46.0,20.0,16.0,23.0,0.0,7.0,15.0,52.0,50.0,32.0
m31,44.0,35.0,5.0,17.0,52.0,14.0,65.0,32.0,23.0,63.0,25.0,27.0,44.0,20.0,52.0,35.0,36.0,31.0,15.0,58.0,56.0,38.0,29.0,45.0,7.0,33.0,19.0,12.0,22.0,21.0,14.0,15.0,28.0,50.0,43.0,48.0,53.0,13.0,23.0,30.0,7.0,0.0,8.0,59.0,57.0,39.0
m32,52.0,43.0,13.0,9.0,60.0,22.0,73.0,40.0,15.0,71.0,33.0,35.0,52.0,28.0,60.0,43.0,44.0,39.0,23.0,66.0,64.0,46.0,37.0,53.0,15.0,41.0,27.0,20.0,30.0,29.0,22.0,7.0,36.0,58.0,51.0,56.0,61.0,5.0,31.0,38.0,15.0,8.0,0.0,67.0,65.0,47.0
m33,15.0,38.0,64.0,76.0,11.0,45.0,6.0,27.0,52.0,8.0,44.0,46.0,15.0,39.0,7.0,24.0,23.0,28.0,44.0,1.0,3.0,21.0,30.0,14.0,66.0,36.0,50.0,57.0,37.0,52.0,59.0,74.0,31.0,9.0,16.0,11.0,6.0,72.0,36.0,29.0,52.0,59.0,67.0,0.0,2.0,20.0
m34,13.0,36.0,62.0,74.0,13.0,43.0,8.0,25.0,50.0,6.0,42.0,44.0,13.0,37.0,5.0,22.0,21.0,26.0,42.0,3.0,1.0,19.0,28.0,12.0,64.0,34.0,48.0,55.0,35.0,50.0,57.0,72.0,29.0,11.0,14.0,9.0,4.0,70.0,34.0,27.0,50.0,57.0,65.0,2.0,0.0,18.0
m35,7.0,46.0,44.0,56.0,31.0,25.0,26.0,7.0,32.0,24.0,36.0,38.0,23.0,31.0,15.0,16.0,15.0,8.0,24.0,21.0,19.0,1.0,10.0,6.0,46.0,44.0,30.0,37.0,17.0,32.0,39.0,54.0,39.0,29.0,24.0,27.0,14.0,52.0,16.0,9.0,32.0,39.0,47.0,20.0,18.0,0.0
