,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31
v1,0.0,20.0,35.0,43.0,30.0,21.0,11.0,43.0,30.0,43.0,19.0,14.0,15.0,33.0,25.0,21.0,40.0,41.0,13.0,26.0,9.0,28.0,42.0,29.0,26.0,27.0,31.0,35.0,33.0,34.0,17.0,38.0,42.0,40.0,23.0,34.0,32.0,33.0,32.0,28.0,30.0,31.0
v2,20.0,0.0,15.0,23.0,12.0,13.0,9.0,23.0,20.0,23.0,1.0,6.0,5.0,13.0,7.0,11.0,20.0,21.0,7.0,16.0,11.0,18.0,22.0,19.0,6.0,7.0,11.0,15.0,13.0,14.0,3.0,18.0,22.0,20.0,9.0,16.0,14.0,15.0,18.0,14.0,16.0,17.0
v3,35.0,15.0,0.0,12.0,15.0,14.0,24.0,8.0,23.0,8.0,16.0,21.0,20.0,2.0,10.0,14.0,9.0,10.0,22.0,19.0,26.0,21.0,7.0,22.0,9.0,8.0,14.0,18.0,16.0,17.0,18.0,7.0,11.0,5.0,12.0,19.0,17.0,18.0,21.0,17.0,19.0,20.0
v4,43.0,23.0,12.0,0.0,13.0,22.0,32.0,6.0,13.0,4.0,24.0,29.0,28.0,10.0,18.0,22.0,3.0,2.0,30.0,17.0,34.0,15.0,5.0,14.0,17.0,16.0,12.0,8.0,10.0,9.0,26.0,5.0,1.0,7.0,20.0,9.0,11.0,10.0,11.0,15.0,13.0,12.0
v5,30.0,12.0,15.0,13.0,0.0,25.0,19.0,13.0,8.0,13.0,11.0,18.0,15.0,13.0,5.0,9.0,10.0,11.0,17.0,4.0,21.0,6.0,12.0,7.0,6.0,19.0,1.0,5.0,3.0,4.0,13.0,8.0,12.0,10.0,7.0,4.0,2.0,3.0,6.0,2.0,4.0,5.0
v6,21.0,13.0,14.0,22.0,25.0,0.0,10.0,22.0,33.0,22.0,14.0,7.0,18.0,12.0,20.0,24.0,19.0,20.0,8.0,29.0,12.0,31.0,21.0,32.0,19.0,6.0,24.0,28.0,26.0,27.0,16.0,17.0,21.0,19.0,22.0,29.0,27.0,28.0,31.0,27.0,29.0,30.0
v7,11.0,9.0,24.0,32.0,19.0,10.0,0.0,32.0,23.0,32.0,8.0,3.0,8.0,22.0,14.0,14.0,29.0,30.0,2.0,19.0,2.0,21.0,31.0,22.0,15.0,16.0,20.0,24.0,22.0,23.0,6.0,27.0,31.0,29.0,12.0,23.0,21.0,22.0,21.0,17.0,19.0,20.0
v8,43.0,23.0,8.0,6.0,13.0,22.0,32.0,0.0,17.0,2.0,24.0,29.0,28.0,10.0,18.0,22.0,3.0,4.0,30.0,17.0,34.0,15.0,1.0,16.0,17.0,16.0,12.0,12.0,10.0,11.0,26.0,5.0,5.0,3.0,20.0,13.0,11.0,12.0,15.0,15.0,13.0,14.0
v9,30.0,20.0,23.0,13.0,8.0,33.0,23.0,17.0,0.0,15.0,19.0,26.0,15.0,21.0,13.0,9.0,14.0,13.0,25.0,4.0,21.0,2.0,16.0,1.0,14.0,27.0,9.0,5.0,7.0,6.0,17.0,16.0,12.0,18.0,11.0,4.0,6.0,5.0,2.0,6.0,4.0,3.0
v10,43.0,23.0,8.0,4.0,13.0,22.0,32.0,2.0,15.0,0.0,24.0,29.0,28.0,10.0,18.0,22.0,3.0,2.0,30.0,17.0,34.0,15.0,1.0,14.0,17.0,16.0,12.0,10.0,10.0,9.0,26.0,5.0,3.0,3.0,20.0,11.0,11.0,10.0,13.0,15.0,13.0,12.0
