,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26
v1,0.0,19.0,75.0,47.0,11.0,64.0,43.0,27.0,59.0,6.0,14.0,4.0,18.0,2.0,46.0,61.0,55.0,32.0,28.0,13.0,26.0,58.0,41.0,51.0,37.0,33.0,31.0,28.0,8.0,61.0,47.0,60.0,46.0,42.0,40.0,57.0,60.0
v2,19.0,0.0,56.0,38.0,22.0,45.0,24.0,10.0,40.0,21.0,5.0,15.0,1.0,17.0,37.0,42.0,36.0,23.0,19.0,6.0,17.0,39.0,22.0,32.0,18.0,14.0,12.0,9.0,19.0,42.0,28.0,41.0,27.0,23.0,21.0,38.0,41.0
v3,75.0,56.0,0.0,30.0,78.0,17.0,32.0,48.0,24.0,77.0,61.0,71.0,57.0,73.0,29.0,14.0,20.0,43.0,47.0,62.0,49.0,23.0,34.0,24.0,38.0,42.0,44.0,47.0,75.0,14.0,28.0,15.0,29.0,33.0,35.0,18.0,21.0
v4,47.0,38.0,30.0,0.0,50.0,47.0,34.0,48.0,54.0,49.0,33.0,43.0,39.0,45.0,1.0,44.0,50.0,15.0,19.0,34.0,21.0,53.0,36.0,6.0,20.0,24.0,26.0,47.0,47.0,16.0,30.0,15.0,29.0,33.0,35.0,48.0,51.0
v5,11.0,22.0,78.0,50.0,0.0,67.0,46.0,30.0,62.0,5.0,17.0,7.0,21.0,9.0,49.0,64.0,58.0,35.0,31.0,16.0,29.0,61.0,44.0,54.0,40.0,36.0,34.0,31.0,3.0,64.0,50.0,63.0,49.0,45.0,43.0,60.0,63.0
v6,64.0,45.0,17.0,47.0,67.0,0.0,21.0,37.0,7.0,66.0,50.0,60.0,46.0,62.0,46.0,3.0,9.0,32.0,36.0,51.0,38.0,6.0,23.0,41.0,27.0,31.0,33.0,36.0,64.0,31.0,17.0,32.0,18.0,22.0,24.0,7.0,4.0
v7,43.0,24.0,32.0,34.0,46.0,21.0,0.0,16.0,20.0,45.0,29.0,39.0,25.0,41.0,33.0,18.0,16.0,19.0,15.0,30.0,17.0,19.0,2.0,28.0,14.0,10.0,12.0,15.0,43.0,18.0,4.0,19.0,5.0,1.0,3.0,14.0,17.0
v8,27.0,10.0,48.0,48.0,30.0,37.0,16.0,0.0,32.0,29.0,15.0,23.0,9.0,25.0,47.0,34.0,28.0,33.0,29.0,14.0,27.0,31.0,14.0,42.0,28.0,24.0,22.0,1.0,27.0,34.0,20.0,33.0,19.0,15.0,13.0,30.0,33.0
v9,59.0,40.0,24.0,54.0,62.0,7.0,20.0,32.0,0.0,61.0,45.0,55.0,41.0,57.0,53.0,10.0,4.0,39.0,35.0,46.0,33.0,1.0,18.0,48.0,34.0,30.0,28.0,31.0,59.0,38.0,24.0,39.0,25.0,21.0,19.0,6.0,3.0
v10,6.0,21.0,77.0,49.0,5.0,66.0,45.0,29.0,61.0,0.0,16.0,6.0,20.0,4.0,48.0,63.0,57.0,34.0,30.0,15.0,28.0,60.0,43.0,53.0,39.0,35.0,33.0,30.0,2.0,63.0,49.0,62.0,48.0,44.0,42.0,59.0,62.0
m0,14.0,5.0,61.0,33.0,17.0,50.0,29.0,15.0,45.0,16.0,0.0,10.0,6.0,12.0,32.0,47.0,41.0,18.0,14.0,1.0,12.0,44.0,27.0,37.0,23.0,19.0,17.0,14.0,14.0,47.0,33.0,46.0,32.0,28.0,26.0,43.0,46.0
m1,4.0,15.0,71.0,43.0,7.0,60.0,39.0,23.0,55.0,6.0,10.0,0.0,14.0,2.0,42.0,57.0,51.0,28.0,24.0,9.0,22.0,54.0,37.0,47.0,33.0,29.0,27.0,24.0,4.0,57.0,43.0,56.0,42.0,38.0,36.0,53.0,56.0
m2,18.0,1.0,57.0,39.0,21.0,46.0,25.0,9.0,41.0,20.0,6.0,14.0,0.0,16.0,38.0,43.0,37.0,24.0,20.0,5.0,18.0,40.0,23.0,33.0,19.0,15.0,13.0,10.0,18.0,43.0,29.0,42.0,28.0,24.0,22.0,39.0,42.0
m3,2.0,17.0,73.0,45.0,9.0,62.0,41.0,25.0,57.0,4.0,12.0,2.0,16.0,0.0,44.0,59.0,53.0,30.0,26.0,11.0,24.0,56.0,39.0,49.0,35.0,31.0,29.0,26.0,6.0,59.0,45.0,58.0,44.0,40.0,38.0,55.0,58.0
m4,46.0,37.0,29.0,1.0,49.0,46.0,33.0,47.0,53.0,48.0,32.0,42.0,38.0,44.0,0.0,43.0,49.0,14.0,18.0,33.0,20.0,52.0,35.0,5.0,19.0,23.0,25.0,46.0,46.0,15.0,29.0,14.0,28.0,32.0,34.0,47.0,50.0
m5,61.0,42.0,14.0,44.0,64.0,3.0,18.0,34.0,10.0,63.0,47.0,57.0,43.0,59.0,43.0,0.0,6.0,29.0,33.0,48.0,35.0,9.0,20.0,38.0,24.0,28.0,30.0,33.0,61.0,28.0,14.0,29.0,15.0,19.0,21.0,4.0,7.0
m6,55.0,36.0,20.0,50.0,58.0,9.0,16.0,28.0,4.0,57.0,41.0,51.0,37.0,53.0,49.0,6.0,0.0,35.0,31.0,42.0,29.0,3.0,14.0,44.0,30.0,26.0,24.0,27.0,55.0,34.0,20.0,35.0,21.0,17.0,15.0,2.0,5.0
m7,32.0,23.0,43.0,15.0,35.0,32.0,19.0,33.0,39.0,34.0,18.0,28.0,24.0,30.0,14.0,29.0,35.0,0.0,4.0,19.0,6.0,38.0,21.0,19.0,5.0,9.0,11.0,32.0,32.0,29.0,15.0,28.0,14.0,18.0,20.0,33.0,36.0
m8,28.0,19.0,47.0,19.0,31.0,36.0,15.0,29.0,35.0,30.0,14.0,24.0,20.0,26.0,18.0,33.0,31.0,4.0,0.0,15.0,2.0,34.0,17.0,23.0,9.0,5.0,7.0,28.0,28.0,33.0,19.0,32.0,18.0,14.0,16.0,29.0,32.0
m9,13.0,6.0,62.0,34.0,16.0,51.0,30.0,14.0,46.0,15.0,1.0,9.0,5.0,11.0,33.0,48.0,42.0,19.0,15.0,0.0,13.0,45.0,28.0,38.0,24.0,20.0,18.0,15.0,13.0,48.0,34.0,47.0,33.0,29.0,27.0,44.0,47.0
m10,26.0,17.0,49.0,21.0,29.0,38.0,17.0,27.0,33.0,28.0,12.0,22.0,18.0,24.0,20.0,35.0,29.0,6.0,2.0,13.0,0.0,32.0,15.0,25.0,11.0,7.0,5.0,26.0,26.0,35.0,21.0,34.0,20.0,16.0,14.0,31.0,34.0
m11,58.0,39.0,23.0,53.0,61.0,6.0,19.0,31.0,1.0,60.0,44.0,54.0,40.0,56.0,52.0,9.0,3.0,38.0,34.0,45.0,32.0,0.0,17.0,47.0,33.0,29.0,27.0,30.0,58.0,37.0,23.0,38.0,24.0,20.0,18.0,5.0,2.0
m12,41.0,22.0,34.0,36.0,44.0,23.0,2.0,14.0,18.0,43.0,27.0,37.0,23.0,39.0,35.0,20.0,14.0,21.0,17.0,28.0,15.0,17.0,0.0,30.0,16.0,12.0,10.0,13.0,41.0,20.0,6.0,21.0,7.0,3.0,1.0,16.0,19.0
m13,51.0,32.0,24.0,6.0,54.0,41.0,28.0,42.0,48.0,53.0,37.0,47.0,33.0,49.0,5.0,38.0,44.0,19.0,23.0,38.0,25.0,47.0,30.0,0.0,14.0,18.0,20.0,41.0,51.0,10.0,24.0,9.0,23.0,27.0,29.0,42.0,45.0
