,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36
v1,0.0,31.0,20.0,50.0,17.0,55.0,50.0,42.0,10.0,32.0,6.0,19.0,4.0,20.0,18.0,2.0,2.0,31.0,18.0,15.0,35.0,24.0,31.0,24.0,8.0,6.0,44.0,10.0,28.0,29.0,48.0,37.0,33.0,49.0,36.0,4.0,53.0,33.0,26.0,20.0,54.0,35.0,22.0,19.0,28.0,37.0,39.0
v2,31.0,0.0,51.0,69.0,36.0,74.0,43.0,61.0,33.0,23.0,25.0,12.0,27.0,11.0,49.0,33.0,33.0,50.0,37.0,34.0,54.0,43.0,24.0,43.0,27.0,29.0,37.0,21.0,21.0,20.0,41.0,30.0,52.0,68.0,55.0,35.0,72.0,52.0,45.0,39.0,73.0,46.0,33.0,30.0,39.0,56.0,50.0
v3,20.0,51.0,0.0,34.0,33.0,39.0,70.0,26.0,26.0,52.0,26.0,39.0,24.0,40.0,2.0,18.0,18.0,51.0,38.0,35.0,55.0,44.0,51.0,8.0,24.0,22.0,64.0,30.0,48.0,49.0,68.0,57.0,17.0,33.0,20.0,16.0,37.0,49.0,42.0,36.0,38.0,55.0,42.0,39.0,48.0,53.0,59.0
v4,50.0,69.0,34.0,0.0,33.0,5.0,38.0,8.0,60.0,46.0,44.0,57.0,54.0,58.0,32.0,48.0,52.0,19.0,32.0,35.0,23.0,26.0,45.0,26.0,42.0,56.0,32.0,48.0,48.0,49.0,36.0,39.0,17.0,1.0,14.0,50.0,5.0,17.0,24.0,30.0,4.0,23.0,36.0,39.0,30.0,21.0,27.0
v5,17.0,36.0,33.0,33.0,0.0,38.0,37.0,25.0,27.0,19.0,11.0,24.0,21.0,25.0,31.0,15.0,19.0,18.0,5.0,2.0,22.0,11.0,18.0,25.0,9.0,23.0,31.0,15.0,15.0,16.0,35.0,24.0,16.0,32.0,19.0,17.0,36.0,16.0,9.0,3.0,37.0,22.0,9.0,6.0,15.0,20.0,26.0
v6,55.0,74.0,39.0,5.0,38.0,0.0,35.0,13.0,65.0,51.0,49.0,62.0,59.0,63.0,37.0,53.0,57.0,24.0,37.0,40.0,20.0,31.0,50.0,31.0,47.0,61.0,37.0,53.0,53.0,54.0,33.0,44.0,22.0,6.0,19.0,55.0,2.0,22.0,29.0,35.0,1.0,28.0,41.0,44.0,35.0,18.0,24.0
v7,50.0,43.0,70.0,38.0,37.0,35.0,0.0,44.0,52.0,20.0,44.0,31.0,46.0,32.0,68.0,52.0,52.0,19.0,32.0,35.0,15.0,26.0,19.0,62.0,46.0,48.0,6.0,40.0,22.0,23.0,2.0,13.0,53.0,37.0,50.0,54.0,33.0,21.0,28.0,34.0,34.0,15.0,28.0,31.0,22.0,17.0,11.0
v8,42.0,61.0,26.0,8.0,25.0,13.0,44.0,0.0,52.0,38.0,36.0,49.0,46.0,50.0,24.0,40.0,44.0,25.0,24.0,27.0,29.0,18.0,37.0,18.0,34.0,48.0,38.0,40.0,40.0,41.0,42.0,31.0,9.0,7.0,6.0,42.0,11.0,23.0,16.0,22.0,12.0,29.0,28.0,31.0,22.0,27.0,33.0
v9,10.0,33.0,26.0,60.0,27.0,65.0,52.0,52.0,0.0,34.0,16.0,21.0,6.0,22.0,28.0,12.0,8.0,41.0,28.0,25.0,45.0,34.0,33.0,34.0,18.0,4.0,46.0,12.0,30.0,31.0,50.0,39.0,43.0,59.0,46.0,10.0,63.0,43.0,36.0,30.0,64.0,37.0,24.0,21.0,30.0,47.0,41.0
v10,32.0,23.0,52.0,46.0,19.0,51.0,20.0,38.0,34.0,0.0,26.0,13.0,28.0,12.0,50.0,34.0,34.0,27.0,14.0,17.0,31.0,20.0,1.0,44.0,28.0,30.0,14.0,22.0,4.0,3.0,18.0,7.0,35.0,45.0,32.0,36.0,49.0,29.0,22.0,16.0,50.0,23.0,10.0,13.0,16.0,33.0,27.0
m0,6.0,25.0,26.0,44.0,11.0,49.0,44.0,36.0,16.0,26.0,0.0,13.0,10.0,14.0,24.0,8.0,8.0,25.0,12.0,9.0,29.0,18.0,25.0,18.0,2.0,12.0,38.0,4.0,22.0,23.0,42.0,31.0,27.0,43.0,30.0,10.0,47.0,27.0,20.0,14.0,48.0,29.0,16.0,13.0,22.0,31.0,33.0
m1,19.0,12.0,39.0,57.0,24.0,62.0,31.0,49.0,21.0,13.0,13.0,0.0,15.0,1.0,37.0,21.0,21.0,38.0,25.0,22.0,42.0,31.0,12.0,31.0,15.0,17.0,25.0,9.0,9.0,10.0,29.0,18.0,40.0,56.0,43.0,23.0,60.0,40.0,33.0,27.0,61.0,34.0,21.0,18.0,27.0,44.0,38.0
m2,4.0,27.0,24.0,54.0,21.0,59.0,46.0,46.0,6.0,28.0,10.0,15.0,0.0,16.0,22.0,6.0,6.0,35.0,22.0,19.0,39.0,28.0,27.0,28.0,12.0,2.0,40.0,6.0,24.0,25.0,44.0,33.0,37.0,53.0,40.0,8.0,57.0,37.0,30.0,24.0,58.0,31.0,18.0,15.0,24.0,41.0,35.0
