,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25
v1,0.0,22.0,34.0,7.0,14.0,28.0,8.0,9.0,11.0,30.0,17.0,1.0,15.0,1.0,3.0,4.0,6.0,2.0,9.0,7.0,8.0,30.0,4.0,5.0,2.0,3.0,10.0,13.0,9.0,10.0,10.0,11.0,12.0,16.0,17.0,18.0
v2,22.0,0.0,22.0,29.0,34.0,20.0,28.0,29.0,33.0,52.0,5.0,21.0,7.0,21.0,25.0,26.0,28.0,24.0,31.0,29.0,30.0,18.0,24.0,25.0,20.0,23.0,30.0,35.0,31.0,32.0,32.0,33.0,34.0,38.0,39.0,40.0
v3,34.0,22.0,0.0,41.0,46.0,6.0,40.0,41.0,45.0,64.0,17.0,33.0,19.0,33.0,37.0,38.0,40.0,36.0,43.0,41.0,42.0,4.0,36.0,37.0,32.0,35.0,42.0,47.0,43.0,44.0,44.0,45.0,46.0,50.0,51.0,52.0
v4,7.0,29.0,41.0,0.0,15.0,35.0,7.0,8.0,6.0,23.0,24.0,8.0,22.0,8.0,4.0,3.0,1.0,5.0,10.0,6.0,7.0,37.0,5.0,4.0,9.0,6.0,11.0,6.0,4.0,3.0,5.0,4.0,5.0,9.0,10.0,11.0
v5,14.0,34.0,46.0,15.0,0.0,40.0,22.0,23.0,21.0,26.0,29.0,13.0,27.0,15.0,11.0,18.0,16.0,12.0,5.0,21.0,22.0,42.0,10.0,19.0,14.0,11.0,4.0,9.0,19.0,18.0,20.0,19.0,20.0,12.0,13.0,14.0
v6,28.0,20.0,6.0,35.0,40.0,0.0,34.0,35.0,39.0,58.0,15.0,27.0,13.0,27.0,31.0,32.0,34.0,30.0,37.0,35.0,36.0,2.0,30.0,31.0,26.0,29.0,36.0,41.0,37.0,38.0,38.0,39.0,40.0,44.0,45.0,46.0
v7,8.0,28.0,40.0,7.0,22.0,34.0,0.0,1.0,5.0,24.0,23.0,9.0,21.0,7.0,11.0,4.0,6.0,10.0,17.0,1.0,2.0,36.0,12.0,3.0,8.0,11.0,18.0,13.0,3.0,4.0,4.0,5.0,6.0,10.0,11.0,12.0
v8,9.0,29.0,41.0,8.0,23.0,35.0,1.0,0.0,4.0,23.0,24.0,10.0,22.0,8.0,12.0,5.0,7.0,11.0,18.0,2.0,1.0,37.0,13.0,4.0,9.0,12.0,19.0,14.0,4.0,5.0,3.0,4.0,5.0,11.0,10.0,11.0
v9,11.0,33.0,45.0,6.0,21.0,39.0,5.0,4.0,0.0,19.0,28.0,12.0,26.0,12.0,10.0,7.0,5.0,9.0,16.0,4.0,3.0,41.0,11.0,8.0,13.0,10.0,17.0,12.0,2.0,3.0,1.0,2.0,1.0,9.0,8.0,7.0
v10,30.0,52.0,64.0,23.0,26.0,58.0,24.0,23.0,19.0,0.0,47.0,31.0,45.0,31.0,27.0,26.0,24.0,28.0,21.0,23.0,22.0,60.0,28.0,27.0,32.0,29.0,22.0,17.0,21.0,20.0,20.0,19.0,18.0,14.0,13.0,12.0
