,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32
v1,0.0,24.0,19.0,53.0,43.0,9.0,20.0,8.0,26.0,8.0,17.0,12.0,2.0,14.0,29.0,3.0,6.0,2.0,16.0,14.0,5.0,26.0,27.0,15.0,38.0,30.0,18.0,46.0,20.0,31.0,23.0,4.0,10.0,31.0,42.0,37.0,22.0,11.0,14.0,41.0,16.0,27.0,19.0
v2,24.0,0.0,9.0,29.0,67.0,33.0,44.0,16.0,26.0,32.0,7.0,12.0,26.0,14.0,53.0,27.0,30.0,26.0,40.0,38.0,29.0,2.0,3.0,15.0,14.0,6.0,18.0,36.0,10.0,21.0,13.0,28.0,18.0,55.0,66.0,45.0,30.0,19.0,22.0,41.0,40.0,51.0,43.0
v3,19.0,9.0,0.0,34.0,58.0,28.0,35.0,11.0,17.0,23.0,2.0,7.0,17.0,5.0,44.0,18.0,21.0,21.0,31.0,29.0,20.0,7.0,8.0,6.0,19.0,11.0,9.0,27.0,1.0,12.0,4.0,19.0,9.0,46.0,57.0,36.0,21.0,10.0,13.0,32.0,31.0,42.0,34.0
v4,53.0,29.0,34.0,0.0,38.0,62.0,67.0,45.0,27.0,49.0,36.0,41.0,51.0,39.0,24.0,50.0,47.0,55.0,63.0,39.0,52.0,27.0,26.0,38.0,15.0,23.0,35.0,7.0,33.0,22.0,30.0,53.0,43.0,26.0,37.0,16.0,31.0,42.0,39.0,12.0,41.0,52.0,60.0
v5,43.0,67.0,58.0,38.0,0.0,48.0,31.0,51.0,41.0,35.0,60.0,55.0,41.0,53.0,14.0,40.0,37.0,41.0,27.0,29.0,38.0,65.0,64.0,52.0,53.0,61.0,49.0,31.0,57.0,46.0,54.0,39.0,49.0,12.0,1.0,22.0,37.0,48.0,45.0,26.0,27.0,16.0,24.0
v6,9.0,33.0,28.0,62.0,48.0,0.0,25.0,17.0,35.0,13.0,26.0,21.0,11.0,23.0,38.0,12.0,15.0,7.0,21.0,23.0,10.0,35.0,36.0,24.0,47.0,39.0,27.0,55.0,29.0,40.0,32.0,9.0,19.0,36.0,47.0,46.0,31.0,20.0,23.0,50.0,21.0,32.0,24.0
v7,20.0,44.0,35.0,67.0,31.0,25.0,0.0,28.0,40.0,18.0,37.0,32.0,18.0,30.0,43.0,17.0,20.0,18.0,4.0,28.0,15.0,42.0,41.0,29.0,52.0,44.0,32.0,60.0,34.0,45.0,37.0,16.0,26.0,41.0,30.0,51.0,36.0,25.0,28.0,55.0,26.0,15.0,7.0
v8,8.0,16.0,11.0,45.0,51.0,17.0,28.0,0.0,18.0,16.0,9.0,4.0,10.0,6.0,37.0,11.0,14.0,10.0,24.0,22.0,13.0,18.0,19.0,7.0,30.0,22.0,10.0,38.0,12.0,23.0,15.0,12.0,2.0,39.0,50.0,29.0,14.0,3.0,6.0,33.0,24.0,35.0,27.0
v9,26.0,26.0,17.0,27.0,41.0,35.0,40.0,18.0,0.0,22.0,19.0,14.0,24.0,12.0,27.0,23.0,20.0,28.0,36.0,12.0,25.0,24.0,23.0,11.0,12.0,20.0,8.0,20.0,16.0,5.0,13.0,26.0,16.0,29.0,40.0,19.0,4.0,15.0,12.0,15.0,14.0,25.0,33.0
v10,8.0,32.0,23.0,49.0,35.0,13.0,18.0,16.0,22.0,0.0,25.0,20.0,6.0,18.0,25.0,5.0,2.0,6.0,14.0,10.0,3.0,30.0,29.0,17.0,34.0,26.0,14.0,42.0,22.0,27.0,19.0,4.0,14.0,23.0,34.0,33.0,18.0,13.0,10.0,37.0,8.0,19.0,11.0
m0,17.0,7.0,2.0,36.0,60.0,26.0,37.0,9.0,19.0,25.0,0.0,5.0,19.0,7.0,46.0,20.0,23.0,19.0,33.0,31.0,22.0,9.0,10.0,8.0,21.0,13.0,11.0,29.0,3.0,14.0,6.0,21.0,11.0,48.0,59.0,38.0,23.0,12.0,15.0,34.0,33.0,44.0,36.0
m1,12.0,12.0,7.0,41.0,55.0,21.0,32.0,4.0,14.0,20.0,5.0,0.0,14.0,2.0,41.0,15.0,18.0,14.0,28.0,26.0,17.0,14.0,15.0,3.0,26.0,18.0,6.0,34.0,8.0,19.0,11.0,16.0,6.0,43.0,54.0,33.0,18.0,7.0,10.0,29.0,28.0,39.0,31.0
m2,2.0,26.0,17.0,51.0,41.0,11.0,18.0,10.0,24.0,6.0,19.0,14.0,0.0,12.0,27.0,1.0,4.0,4.0,14.0,12.0,3.0,24.0,25.0,13.0,36.0,28.0,16.0,44.0,18.0,29.0,21.0,2.0,8.0,29.0,40.0,35.0,20.0,9.0,12.0,39.0,14.0,25.0,17.0
m3,14.0,14.0,5.0,39.0,53.0,23.0,30.0,6.0,12.0,18.0,7.0,2.0,12.0,0.0,39.0,13.0,16.0,16.0,26.0,24.0,15.0,12.0,13.0,1.0,24.0,16.0,4.0,32.0,6.0,17.0,9.0,14.0,4.0,41.0,52.0,31.0,16.0,5.0,8.0,27.0,26.0,37.0,29.0
m4,29.0,53.0,44.0,24.0,14.0,38.0,43.0,37.0,27.0,25.0,46.0,41.0,27.0,39.0,0.0,26.0,23.0,31.0,39.0,15.0,28.0,51.0,50.0,38.0,39.0,47.0,35.0,17.0,43.0,32.0,40.0,29.0,35.0,2.0,13.0,8.0,23.0,34.0,31.0,12.0,17.0,28.0,36.0
m5,3.0,27.0,18.0,50.0,40.0,12.0,17.0,11.0,23.0,5.0,20.0,15.0,1.0,13.0,26.0,0.0,3.0,5.0,13.0,11.0,2.0,25.0,24.0,12.0,35.0,27.0,15.0,43.0,17.0,28.0,20.0,3.0,9.0,28.0,39.0,34.0,19.0,8.0,11.0,38.0,13.0,24.0,16.0
m6,6.0,30.0,21.0,47.0,37.0,15.0,20.0,14.0,20.0,2.0,23.0,18.0,4.0,16.0,23.0,3.0,0.0,8.0,16.0,8.0,5.0,28.0,27.0,15.0,32.0,24.0,12.0,40.0,20.0,25.0,17.0,6.0,12.0,25.0,36.0,31.0,16.0,11.0,8.0,35.0,10.0,21.0,13.0
m7,2.0,26.0,21.0,55.0,41.0,7.0,18.0,10.0,28.0,6.0,19.0,14.0,4.0,16.0,31.0,5.0,8.0,0.0,14.0,16.0,3.0,28.0,29.0,17.0,40.0,32.0,20.0,48.0,22.0,33.0,25.0,2.0,12.0,29.0,40.0,39.0,24.0,13.0,16.0,43.0,14.0,25.0,17.0
m8,16.0,40.0,31.0,63.0,27.0,21.0,4.0,24.0,36.0,14.0,33.0,28.0,14.0,26.0,39.0,13.0,16.0,14.0,0.0,24.0,11.0,38.0,37.0,25.0,48.0,40.0,28.0,56.0,30.0,41.0,33.0,12.0,22.0,37.0,26.0,47.0,32.0,21.0,24.0,51.0,22.0,11.0,3.0
m9,14.0,38.0,29.0,39.0,29.0,23.0,28.0,22.0,12.0,10.0,31.0,26.0,12.0,24.0,15.0,11.0,8.0,16.0,24.0,0.0,13.0,36.0,35.0,23.0,24.0,32.0,20.0,32.0,28.0,17.0,25.0,14.0,20.0,17.0,28.0,23.0,8.0,19.0,16.0,27.0,2.0,13.0,21.0
