,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128,m129,m130,m131,m132,m133,m134,m135,m136,m137,m138,m139,m140,m141,m142,m143,m144,m145,m146,m147,m148,m149,m150,m151,m152,m153,m154,m155,m156,m157,m158,m159,m160,m161,m162,m163,m164,m165,m166,m167,m168,m169
v1,0.0,10.0,55.0,47.0,50.0,20.0,62.0,46.0,27.0,37.0,37.0,23.0,17.0,32.0,39.0,15.0,6.0,33.0,10.0,57.0,3.0,9.0,36.0,46.0,47.0,40.0,21.0,34.0,20.0,14.0,19.0,12.0,2.0,29.0,49.0,40.0,42.0,17.0,26.0,30.0,44.0,44.0,25.0,27.0,36.0,23.0,19.0,3.0,12.0,17.0,28.0,33.0,55.0,21.0,30.0,25.0,2.0,11.0,15.0,32.0,1.0,30.0,24.0,9.0,27.0,37.0,20.0,30.0,6.0,31.0,24.0,5.0,18.0,4.0,33.0,23.0,17.0,25.0,15.0,7.0,32.0,36.0,29.0,23.0,31.0,15.0,33.0,58.0,53.0,39.0,29.0,48.0,51.0,53.0,22.0,51.0,34.0,44.0,45.0,38.0,47.0,37.0,46.0,31.0,23.0,29.0,21.0,53.0,61.0,55.0,33.0,34.0,31.0,43.0,39.0,38.0,36.0,19.0,29.0,5.0,30.0,23.0,4.0,17.0,3.0,32.0,22.0,16.0,14.0,31.0,23.0,21.0,13.0,20.0,18.0,57.0,54.0,52.0,43.0,28.0,26.0,33.0,30.0,51.0,48.0,50.0,45.0,47.0,50.0,39.0,37.0,40.0,38.0,32.0,29.0,37.0,35.0,20.0,44.0,41.0,45.0,42.0,42.0,39.0,34.0,27.0,29.0,31.0,31.0,24.0,26.0,28.0,56.0,52.0,54.0,60.0,30.0,36.0,54.0,35.0,31.0,53.0,47.0,48.0,45.0,37.0,34.0,24.0,33.0,18.0
v2,10.0,0.0,59.0,51.0,54.0,24.0,66.0,50.0,31.0,47.0,41.0,33.0,27.0,36.0,31.0,25.0,4.0,43.0,14.0,61.0,7.0,1.0,40.0,50.0,51.0,44.0,25.0,44.0,30.0,24.0,23.0,22.0,8.0,39.0,53.0,44.0,46.0,27.0,30.0,34.0,48.0,48.0,29.0,37.0,40.0,27.0,23.0,13.0,16.0,21.0,38.0,37.0,59.0,31.0,34.0,29.0,12.0,15.0,25.0,42.0,11.0,40.0,28.0,13.0,31.0,41.0,24.0,34.0,10.0,35.0,28.0,9.0,22.0,8.0,37.0,27.0,21.0,17.0,19.0,3.0,36.0,28.0,21.0,15.0,23.0,7.0,25.0,62.0,57.0,43.0,33.0,52.0,55.0,57.0,26.0,55.0,38.0,48.0,49.0,42.0,51.0,41.0,50.0,35.0,27.0,33.0,25.0,57.0,65.0,59.0,37.0,38.0,35.0,47.0,43.0,42.0,42.0,25.0,35.0,11.0,36.0,29.0,10.0,23.0,9.0,38.0,28.0,22.0,20.0,37.0,19.0,17.0,9.0,24.0,22.0,61.0,58.0,56.0,47.0,32.0,30.0,37.0,34.0,55.0,52.0,54.0,49.0,51.0,54.0,43.0,41.0,44.0,42.0,36.0,33.0,41.0,39.0,30.0,48.0,45.0,49.0,46.0,46.0,43.0,30.0,23.0,25.0,27.0,35.0,28.0,30.0,32.0,60.0,56.0,58.0,64.0,40.0,40.0,58.0,39.0,41.0,57.0,51.0,52.0,49.0,33.0,38.0,34.0,43.0,28.0
v3,55.0,59.0,0.0,30.0,13.0,35.0,23.0,21.0,40.0,24.0,18.0,38.0,44.0,23.0,56.0,46.0,57.0,30.0,45.0,14.0,52.0,58.0,19.0,9.0,8.0,15.0,34.0,21.0,35.0,41.0,36.0,43.0,53.0,26.0,6.0,23.0,25.0,38.0,29.0,47.0,27.0,19.0,38.0,28.0,19.0,40.0,36.0,52.0,43.0,38.0,27.0,50.0,16.0,34.0,25.0,42.0,53.0,44.0,40.0,29.0,54.0,25.0,31.0,46.0,44.0,18.0,35.0,25.0,49.0,24.0,31.0,50.0,37.0,51.0,22.0,32.0,38.0,42.0,40.0,56.0,23.0,53.0,46.0,44.0,48.0,52.0,50.0,19.0,2.0,16.0,26.0,7.0,12.0,10.0,33.0,4.0,21.0,11.0,10.0,17.0,8.0,18.0,9.0,24.0,32.0,26.0,34.0,14.0,22.0,12.0,22.0,21.0,24.0,12.0,16.0,17.0,19.0,36.0,26.0,50.0,25.0,32.0,51.0,38.0,52.0,23.0,33.0,39.0,41.0,24.0,40.0,42.0,50.0,35.0,37.0,20.0,17.0,15.0,20.0,39.0,37.0,44.0,41.0,26.0,23.0,27.0,22.0,24.0,33.0,28.0,26.0,27.0,25.0,45.0,42.0,30.0,28.0,41.0,33.0,30.0,32.0,29.0,35.0,32.0,51.0,44.0,46.0,48.0,46.0,39.0,41.0,43.0,15.0,11.0,13.0,23.0,31.0,47.0,29.0,48.0,30.0,30.0,36.0,35.0,38.0,54.0,49.0,37.0,28.0,43.0
v4,47.0,51.0,30.0,0.0,17.0,27.0,15.0,9.0,20.0,50.0,32.0,36.0,36.0,15.0,26.0,38.0,49.0,46.0,37.0,16.0,44.0,50.0,11.0,21.0,22.0,15.0,26.0,47.0,33.0,33.0,28.0,35.0,45.0,42.0,24.0,7.0,5.0,30.0,21.0,17.0,3.0,11.0,22.0,40.0,31.0,24.0,28.0,44.0,35.0,30.0,41.0,20.0,14.0,34.0,25.0,22.0,45.0,36.0,32.0,45.0,46.0,43.0,23.0,38.0,20.0,44.0,27.0,37.0,41.0,38.0,31.0,42.0,29.0,43.0,40.0,30.0,30.0,34.0,32.0,48.0,39.0,23.0,30.0,36.0,28.0,44.0,26.0,11.0,28.0,14.0,24.0,23.0,18.0,20.0,25.0,30.0,13.0,23.0,24.0,17.0,26.0,16.0,25.0,16.0,24.0,18.0,26.0,16.0,14.0,18.0,14.0,13.0,16.0,38.0,34.0,33.0,45.0,28.0,38.0,42.0,39.0,32.0,43.0,30.0,44.0,41.0,31.0,31.0,33.0,40.0,32.0,34.0,42.0,27.0,29.0,10.0,13.0,15.0,10.0,19.0,21.0,14.0,17.0,4.0,7.0,3.0,8.0,6.0,3.0,8.0,10.0,7.0,9.0,15.0,18.0,10.0,12.0,33.0,3.0,6.0,2.0,5.0,5.0,8.0,21.0,28.0,26.0,24.0,16.0,23.0,21.0,19.0,15.0,19.0,17.0,13.0,43.0,17.0,7.0,18.0,44.0,6.0,6.0,5.0,8.0,24.0,19.0,37.0,46.0,35.0
v5,50.0,54.0,13.0,17.0,0.0,30.0,12.0,8.0,27.0,33.0,15.0,33.0,39.0,18.0,43.0,41.0,52.0,29.0,40.0,7.0,47.0,53.0,14.0,4.0,5.0,10.0,29.0,30.0,30.0,36.0,31.0,38.0,48.0,25.0,7.0,10.0,12.0,33.0,24.0,34.0,14.0,6.0,25.0,23.0,14.0,27.0,31.0,47.0,38.0,33.0,24.0,37.0,5.0,29.0,20.0,29.0,48.0,39.0,35.0,28.0,49.0,26.0,26.0,41.0,31.0,27.0,30.0,20.0,44.0,21.0,26.0,45.0,32.0,46.0,23.0,27.0,33.0,37.0,35.0,51.0,22.0,40.0,33.0,39.0,35.0,47.0,37.0,8.0,11.0,11.0,21.0,6.0,1.0,3.0,28.0,13.0,16.0,6.0,7.0,12.0,9.0,13.0,8.0,19.0,27.0,21.0,29.0,3.0,11.0,5.0,17.0,16.0,19.0,21.0,17.0,16.0,28.0,31.0,21.0,45.0,22.0,27.0,46.0,33.0,47.0,24.0,28.0,34.0,36.0,23.0,35.0,37.0,45.0,30.0,32.0,7.0,4.0,2.0,7.0,26.0,24.0,31.0,28.0,13.0,10.0,14.0,9.0,11.0,20.0,15.0,13.0,14.0,12.0,32.0,29.0,17.0,15.0,36.0,20.0,17.0,19.0,16.0,22.0,19.0,38.0,31.0,33.0,35.0,33.0,26.0,28.0,30.0,6.0,2.0,4.0,10.0,26.0,34.0,16.0,35.0,27.0,17.0,23.0,22.0,25.0,41.0,36.0,32.0,29.0,38.0
v6,20.0,24.0,35.0,27.0,30.0,0.0,42.0,26.0,9.0,51.0,33.0,37.0,31.0,12.0,25.0,29.0,22.0,47.0,10.0,37.0,17.0,23.0,16.0,26.0,27.0,20.0,3.0,48.0,34.0,28.0,5.0,26.0,18.0,43.0,29.0,20.0,22.0,31.0,22.0,16.0,24.0,24.0,7.0,41.0,32.0,9.0,1.0,17.0,8.0,3.0,42.0,19.0,35.0,35.0,26.0,11.0,18.0,9.0,29.0,46.0,19.0,44.0,20.0,11.0,13.0,45.0,28.0,38.0,14.0,39.0,32.0,15.0,26.0,16.0,41.0,31.0,25.0,11.0,23.0,21.0,40.0,22.0,15.0,9.0,17.0,17.0,19.0,38.0,33.0,19.0,25.0,28.0,31.0,33.0,2.0,31.0,14.0,24.0,25.0,18.0,27.0,17.0,26.0,11.0,19.0,9.0,17.0,33.0,41.0,35.0,13.0,14.0,11.0,39.0,35.0,34.0,46.0,29.0,39.0,15.0,40.0,33.0,16.0,27.0,17.0,42.0,32.0,26.0,24.0,41.0,9.0,7.0,15.0,4.0,2.0,37.0,34.0,32.0,23.0,8.0,6.0,13.0,10.0,31.0,28.0,30.0,25.0,27.0,30.0,19.0,17.0,20.0,18.0,14.0,11.0,17.0,15.0,34.0,24.0,21.0,25.0,22.0,22.0,19.0,20.0,13.0,15.0,17.0,15.0,8.0,10.0,12.0,36.0,32.0,34.0,40.0,44.0,16.0,34.0,17.0,45.0,33.0,27.0,28.0,25.0,23.0,18.0,38.0,47.0,32.0
v7,62.0,66.0,23.0,15.0,12.0,42.0,0.0,16.0,35.0,43.0,25.0,45.0,51.0,30.0,35.0,53.0,64.0,39.0,52.0,9.0,59.0,65.0,26.0,16.0,15.0,22.0,41.0,40.0,42.0,48.0,43.0,50.0,60.0,35.0,17.0,22.0,20.0,45.0,36.0,32.0,18.0,18.0,37.0,35.0,26.0,39.0,43.0,59.0,50.0,45.0,34.0,29.0,7.0,41.0,32.0,37.0,60.0,51.0,47.0,38.0,61.0,36.0,38.0,53.0,35.0,37.0,42.0,32.0,56.0,31.0,38.0,57.0,44.0,58.0,33.0,39.0,45.0,49.0,47.0,63.0,32.0,38.0,45.0,51.0,43.0,59.0,41.0,4.0,21.0,23.0,33.0,16.0,11.0,13.0,40.0,23.0,28.0,18.0,17.0,24.0,19.0,25.0,18.0,31.0,39.0,33.0,41.0,9.0,1.0,11.0,29.0,28.0,31.0,31.0,27.0,26.0,38.0,43.0,33.0,57.0,32.0,39.0,58.0,45.0,59.0,34.0,40.0,46.0,48.0,33.0,47.0,49.0,57.0,42.0,44.0,5.0,8.0,10.0,19.0,34.0,36.0,29.0,32.0,11.0,14.0,12.0,17.0,15.0,12.0,23.0,25.0,22.0,24.0,30.0,33.0,25.0,27.0,48.0,18.0,21.0,17.0,20.0,20.0,23.0,36.0,43.0,41.0,39.0,31.0,38.0,36.0,34.0,8.0,12.0,10.0,2.0,38.0,26.0,8.0,27.0,37.0,9.0,15.0,14.0,17.0,33.0,28.0,44.0,39.0,50.0
v8,46.0,50.0,21.0,9.0,8.0,26.0,16.0,0.0,19.0,41.0,23.0,29.0,35.0,14.0,35.0,37.0,48.0,37.0,36.0,11.0,43.0,49.0,10.0,12.0,13.0,6.0,25.0,38.0,26.0,32.0,27.0,34.0,44.0,33.0,15.0,6.0,4.0,29.0,20.0,26.0,6.0,2.0,21.0,31.0,22.0,23.0,27.0,43.0,34.0,29.0,32.0,29.0,9.0,25.0,16.0,21.0,44.0,35.0,31.0,36.0,45.0,34.0,22.0,37.0,23.0,35.0,26.0,28.0,40.0,29.0,22.0,41.0,28.0,42.0,31.0,23.0,29.0,33.0,31.0,47.0,30.0,32.0,29.0,35.0,27.0,43.0,29.0,12.0,19.0,7.0,17.0,14.0,9.0,11.0,24.0,21.0,12.0,14.0,15.0,8.0,17.0,9.0,16.0,15.0,23.0,17.0,25.0,7.0,15.0,9.0,13.0,12.0,15.0,29.0,25.0,24.0,36.0,27.0,29.0,41.0,30.0,23.0,42.0,29.0,43.0,32.0,24.0,30.0,32.0,31.0,31.0,33.0,41.0,26.0,28.0,11.0,8.0,6.0,3.0,18.0,20.0,23.0,20.0,5.0,2.0,6.0,1.0,3.0,12.0,7.0,9.0,6.0,8.0,24.0,21.0,9.0,11.0,32.0,12.0,9.0,11.0,8.0,14.0,11.0,30.0,27.0,25.0,27.0,25.0,22.0,20.0,22.0,10.0,10.0,8.0,14.0,34.0,26.0,8.0,27.0,35.0,9.0,15.0,14.0,17.0,33.0,28.0,28.0,37.0,34.0
v9,27.0,31.0,40.0,20.0,27.0,9.0,35.0,19.0,0.0,60.0,42.0,46.0,40.0,21.0,16.0,38.0,29.0,56.0,17.0,30.0,24.0,30.0,21.0,31.0,32.0,25.0,6.0,57.0,43.0,37.0,8.0,35.0,25.0,52.0,34.0,17.0,15.0,40.0,31.0,7.0,17.0,21.0,2.0,50.0,41.0,4.0,8.0,26.0,17.0,10.0,51.0,10.0,28.0,44.0,35.0,2.0,25.0,16.0,38.0,55.0,26.0,53.0,29.0,18.0,4.0,54.0,37.0,47.0,23.0,48.0,41.0,22.0,35.0,23.0,50.0,40.0,34.0,14.0,32.0,28.0,49.0,13.0,10.0,16.0,8.0,24.0,10.0,31.0,38.0,24.0,34.0,33.0,28.0,30.0,7.0,40.0,23.0,33.0,34.0,27.0,36.0,26.0,35.0,20.0,28.0,18.0,26.0,26.0,34.0,28.0,18.0,19.0,16.0,48.0,44.0,43.0,55.0,38.0,48.0,24.0,49.0,42.0,23.0,36.0,24.0,51.0,41.0,35.0,33.0,50.0,12.0,14.0,22.0,7.0,9.0,30.0,27.0,25.0,20.0,1.0,3.0,6.0,3.0,24.0,21.0,23.0,18.0,20.0,23.0,12.0,14.0,13.0,15.0,5.0,2.0,10.0,12.0,43.0,17.0,14.0,18.0,15.0,15.0,12.0,11.0,8.0,6.0,8.0,6.0,3.0,1.0,3.0,29.0,29.0,27.0,33.0,53.0,9.0,27.0,8.0,54.0,26.0,20.0,21.0,18.0,14.0,9.0,47.0,56.0,41.0
v10,37.0,47.0,24.0,50.0,33.0,51.0,43.0,41.0,60.0,0.0,18.0,14.0,20.0,39.0,76.0,22.0,43.0,6.0,45.0,34.0,40.0,46.0,39.0,29.0,28.0,35.0,54.0,3.0,17.0,23.0,56.0,25.0,39.0,8.0,26.0,43.0,45.0,20.0,29.0,67.0,47.0,39.0,58.0,10.0,19.0,60.0,52.0,34.0,43.0,54.0,9.0,70.0,36.0,16.0,25.0,62.0,35.0,44.0,22.0,5.0,36.0,7.0,31.0,46.0,64.0,6.0,23.0,13.0,37.0,12.0,19.0,38.0,25.0,39.0,10.0,20.0,26.0,62.0,28.0,44.0,11.0,73.0,66.0,60.0,68.0,52.0,70.0,39.0,22.0,36.0,26.0,27.0,32.0,30.0,53.0,20.0,37.0,27.0,26.0,33.0,24.0,34.0,25.0,40.0,32.0,42.0,34.0,34.0,42.0,32.0,42.0,41.0,44.0,12.0,16.0,17.0,5.0,22.0,12.0,36.0,11.0,18.0,37.0,24.0,38.0,9.0,19.0,25.0,27.0,10.0,60.0,58.0,50.0,55.0,53.0,40.0,37.0,35.0,40.0,59.0,57.0,64.0,61.0,46.0,43.0,47.0,42.0,44.0,53.0,48.0,46.0,47.0,45.0,65.0,62.0,50.0,48.0,17.0,53.0,50.0,52.0,49.0,55.0,52.0,71.0,64.0,66.0,68.0,66.0,59.0,61.0,63.0,35.0,31.0,33.0,43.0,7.0,67.0,49.0,68.0,6.0,50.0,56.0,55.0,58.0,74.0,69.0,13.0,4.0,19.0
