,v1,v2,v3,v4,v5,m0,m1,m2,m3,m4,m5,m6
v1,0.0,48.0,52.0,56.0,32.0,44.0,46.0,17.0,25.0,27.0,54.0,54.0
v2,48.0,0.0,12.0,12.0,46.0,4.0,2.0,31.0,39.0,41.0,10.0,14.0
v3,52.0,12.0,0.0,4.0,34.0,8.0,10.0,35.0,27.0,29.0,2.0,2.0
v4,56.0,12.0,4.0,0.0,34.0,12.0,10.0,39.0,31.0,29.0,2.0,2.0
v5,32.0,46.0,34.0,34.0,0.0,42.0,44.0,15.0,7.0,5.0,36.0,32.0
m0,44.0,4.0,8.0,12.0,42.0,0.0,2.0,27.0,35.0,37.0,10.0,10.0
m1,46.0,2.0,10.0,10.0,44.0,2.0,0.0,29.0,37.0,39.0,8.0,12.0
m2,17.0,31.0,35.0,39.0,15.0,27.0,29.0,0.0,8.0,10.0,37.0,37.0
m3,25.0,39.0,27.0,31.0,7.0,35.0,37.0,8.0,0.0,2.0,29.0,29.0
m4,27.0,41.0,29.0,29.0,5.0,37.0,39.0,10.0,2.0,0.0,31.0,27.0
m5,54.0,10.0,2.0,2.0,36.0,10.0,8.0,37.0,29.0,31.0,0.0,4.0
m6,54.0,14.0,2.0,2.0,32.0,10.0,12.0,37.0,29.0,27.0,4.0,0.0
