,v1,v2,v3,v4,v5,m0,m1,m2,m3,m4
v1,0.0,42.0,42.0,30.0,33.0,40.0,31.0,23.0,38.0,40.0
v2,42.0,0.0,4.0,12.0,13.0,2.0,11.0,19.0,4.0,6.0
v3,42.0,4.0,0.0,12.0,9.0,2.0,11.0,19.0,4.0,2.0
v4,30.0,12.0,12.0,0.0,17.0,10.0,15.0,7.0,8.0,10.0
v5,33.0,13.0,9.0,17.0,0.0,11.0,2.0,10.0,9.0,7.0
m0,40.0,2.0,2.0,10.0,11.0,0.0,9.0,17.0,2.0,4.0
m1,31.0,11.0,11.0,15.0,2.0,9.0,0.0,8.0,7.0,9.0
m2,23.0,19.0,19.0,7.0,10.0,17.0,8.0,0.0,15.0,17.0
m3,38.0,4.0,4.0,8.0,9.0,2.0,7.0,15.0,0.0,2.0
m4,40.0,6.0,2.0,10.0,7.0,4.0,9.0,17.0,2.0,0.0
