input_file,status,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae

treemetric_n20_k1_idx1.csv,OK,18,37,2.657692,0,A,B,0
manhattan_n1000_k160_d2_s1.csv,OK,765,101094,102.297869,2.5925925925925926,v147,v154,0.22625786163522013


manhattan_n10_k20_d2_s1.csv,OK,19,85,0.177141,0,v1,v2,0
manhattan_n10_k20_d2_s2.csv,OK,10,62,0.151774,0,v1,v2,0
manhattan_n10_k20_d2_s3.csv,OK,21,103,0.178761,0,v1,v2,0
manhattan_n10_k20_d2_s4.csv,OK,11,65,0.154217,0,v1,v2,0
manhattan_n10_k20_d2_s5.csv,OK,14,88,0.159519,0,v1,v2,0
manhattan_n10_k20_d2_s6.csv,OK,16,93,0.174724,0,v1,v2,0
manhattan_n10_k20_d2_s7.csv,OK,10,64,0.155892,0,v1,v2,0
manhattan_n10_k20_d2_s8.csv,OK,15,107,0.166099,0,v1,v2,0
manhattan_n10_k20_d2_s9.csv,OK,16,95,0.176217,0,v1,v2,0
manhattan_n10_k20_d2_s10.csv,OK,9,79,0.146892,0,v1,v2,0

manhattan_n20_k20_d2_s1.csv,OK,20,170,0.185392,0,v1,v2,0
manhattan_n20_k20_d2_s2.csv,OK,28,185,0.207556,0,v1,v2,0
manhattan_n20_k20_d2_s3.csv,OK,20,156,0.183031,0,v1,v2,0
manhattan_n20_k20_d2_s4.csv,OK,17,143,0.174326,0,v1,v2,0
manhattan_n20_k20_d2_s5.csv,OK,17,172,0.167166,0,v1,v2,0
manhattan_n20_k20_d2_s6.csv,OK,20,217,0.175867,0,v1,v2,0
manhattan_n20_k20_d2_s7.csv,OK,29,190,0.206119,0,v1,v2,0
manhattan_n20_k20_d2_s8.csv,OK,36,228,0.236740,0,v1,v2,0
manhattan_n20_k20_d2_s9.csv,OK,13,161,0.165803,0.16666666666666674,v12,v20,0.042105263157894736
manhattan_n20_k20_d2_s10.csv,OK,29,214,0.207645,0,v1,v2,0

manhattan_n50_k20_d2_s1.csv,OK,31,483,0.235759,0,v1,v2,0
manhattan_n50_k20_d2_s2.csv,OK,47,647,0.285371,0,v1,v2,0
manhattan_n50_k20_d2_s3.csv,OK,35,623,0.230582,0,v1,v2,0
manhattan_n50_k20_d2_s4.csv,OK,33,370,0.224435,0,v1,v2,0
manhattan_n50_k20_d2_s5.csv,OK,39,600,0.237146,0,v1,v2,0
manhattan_n50_k20_d2_s6.csv,OK,38,613,0.235684,0,v1,v2,0
manhattan_n50_k20_d2_s7.csv,OK,42,524,0.263233,0,v1,v2,0
manhattan_n50_k20_d2_s8.csv,OK,37,597,0.261362,0,v1,v2,0
manhattan_n50_k20_d2_s9.csv,OK,47,651,0.273823,0,v1,v2,0
manhattan_n50_k20_d2_s10.csv,OK,34,575,0.241347,0,v1,v2,0

manhattan_n100_k20_d2_s1.csv,OK,51,1425,0.277605,0,v1,v2,0
manhattan_n100_k20_d2_s2.csv,OK,46,1229,0.290311,0,v1,v2,0
manhattan_n100_k20_d2_s3.csv,OK,41,1016,0.266347,0,v1,v2,0
manhattan_n100_k20_d2_s4.csv,OK,38,897,0.241424,0,v1,v2,0
manhattan_n100_k20_d2_s5.csv,OK,50,1331,0.284053,0,v1,v2,0
manhattan_n100_k20_d2_s6.csv,OK,47,1273,0.273016,0,v1,v2,0
manhattan_n100_k20_d2_s7.csv,OK,53,1310,0.294608,0,v1,v2,0
manhattan_n100_k20_d2_s8.csv,OK,31,1076,0.216850,0,v1,v2,0
manhattan_n100_k20_d2_s9.csv,OK,56,1429,0.316101,0,v1,v2,0
manhattan_n100_k20_d2_s10.csv,OK,33,819,0.219129,0,v1,v2,0

manhattan_n200_k20_d2_s1.csv,OK,50,3021,0.276625,0,v1,v2,0
manhattan_n200_k20_d2_s2.csv,OK,53,3291,0.283256,0,v1,v2,0
manhattan_n200_k20_d2_s3.csv,OK,27,1913,0.204960,0,v1,v2,0
manhattan_n200_k20_d2_s4.csv,OK,46,1704,0.277399,0,v1,v2,0
manhattan_n200_k20_d2_s5.csv,OK,44,2277,0.265379,0,v1,v2,0
manhattan_n200_k20_d2_s6.csv,OK,36,2171,0.223591,0,v1,v2,0
manhattan_n200_k20_d2_s7.csv,OK,51,2514,0.284631,0,v1,v2,0
manhattan_n200_k20_d2_s8.csv,OK,34,1998,0.214411,0,v1,v2,0
manhattan_n200_k20_d2_s9.csv,OK,53,2553,0.297179,0,v1,v2,0
manhattan_n200_k20_d2_s10.csv,OK,42,2278,0.245119,0,v1,v2,0

manhattan_n500_k20_d2_s1.csv,OK,51,7275,0.299718,0,v1,v2,0
manhattan_n500_k20_d2_s2.csv,OK,53,6727,0.293717,0,v1,v2,0
manhattan_n500_k20_d2_s3.csv,OK,50,7145,0.281177,0.0062893081761006275,v7,v20,0.042105263157894736
manhattan_n500_k20_d2_s4.csv,OK,52,4972,0.299901,0.0069930069930070893,v1,v17,0.10526315789473684
manhattan_n500_k20_d2_s5.csv,OK,39,5156,0.251006,0.014925373134328401,v8,v16,0.052631578947368418
manhattan_n500_k20_d2_s6.csv,OK,57,7455,0.315500,0.014705882352941124,v15,v17,0.073684210526315783
manhattan_n500_k20_d2_s7.csv,OK,38,6092,0.231144,0,v1,v2,0
manhattan_n500_k20_d2_s8.csv,OK,49,7000,0.269329,0.0108108108108107,v8,v12,0.25263157894736843
manhattan_n500_k20_d2_s9.csv,OK,40,4923,0.243010,0.016260162601626105,v6,v17,0.031578947368421054
manhattan_n500_k20_d2_s10.csv,OK,55,6746,0.301428,0,v1,v2,0

manhattan_n1000_k20_d2_s1.csv,OK,49,14435,0.534962,0.0056338028169014009,v2,v13,0.021052631578947368
manhattan_n1000_k20_d2_s2.csv,OK,52,15430,0.286678,0.046153846153846212,v13,v17,0.094736842105263161
manhattan_n1000_k20_d2_s3.csv,OK,41,12675,0.250605,0.0082987551867219622,v10,v20,0.052631578947368418
manhattan_n1000_k20_d2_s4.csv,OK,42,8119,0.243873,0,v1,v2,0
manhattan_n1000_k20_d2_s5.csv,OK,51,13545,0.275231,0.070370370370370416,v10,v12,0.35789473684210527
manhattan_n1000_k20_d2_s6.csv,OK,50,14439,0.269523,0,v1,v2,0
manhattan_n1000_k20_d2_s7.csv,OK,50,12976,0.289995,0,v1,v2,0
manhattan_n1000_k20_d2_s8.csv,OK,50,13490,0.287302,0.0061538461538461764,v5,v17,0.063157894736842107
manhattan_n1000_k20_d2_s9.csv,OK,56,14629,0.292682,0.0099009900990099098,v4,v15,0.10526315789473684
manhattan_n1000_k20_d2_s10.csv,OK,57,15766,0.294142,0.0088105726872247381,v4,v16,0.094736842105263161


manhattan_n50_k5_d2_s1.csv,OK,2,72,0.099499,0,v1,v2,0
manhattan_n50_k5_d2_s2.csv,OK,2,70,0.092432,0,v1,v2,0
manhattan_n50_k5_d2_s3.csv,OK,2,138,0.105129,0,v1,v2,0
manhattan_n50_k5_d2_s4.csv,OK,2,63,0.099964,0,v1,v2,0
manhattan_n50_k5_d2_s5.csv,OK,4,100,0.102124,0,v1,v2,0
manhattan_n50_k5_d2_s6.csv,OK,2,115,0.097241,0,v1,v2,0
manhattan_n50_k5_d2_s7.csv,OK,2,85,0.100706,0,v1,v2,0
manhattan_n50_k5_d2_s8.csv,OK,1,114,0.094836,0,v1,v2,0
manhattan_n50_k5_d2_s9.csv,OK,2,66,0.096177,0,v1,v2,0
manhattan_n50_k5_d2_s10.csv,OK,6,114,0.106412,0,v1,v2,0

manhattan_n50_k10_d2_s1.csv,OK,9,211,0.320661,0,v1,v2,0
manhattan_n50_k10_d2_s2.csv,OK,15,274,0.126914,0,v1,v2,0
manhattan_n50_k10_d2_s3.csv,OK,11,294,0.121445,0,v1,v2,0
manhattan_n50_k10_d2_s4.csv,OK,9,154,0.115628,0,v1,v2,0
manhattan_n50_k10_d2_s5.csv,OK,7,223,0.109931,0,v1,v2,0
manhattan_n50_k10_d2_s6.csv,OK,17,321,0.133363,0,v1,v2,0
manhattan_n50_k10_d2_s7.csv,OK,10,166,0.115661,0,v1,v2,0
manhattan_n50_k10_d2_s8.csv,OK,13,320,0.144119,0,v1,v2,0
manhattan_n50_k10_d2_s9.csv,OK,15,317,0.139440,0,v1,v2,0
manhattan_n50_k10_d2_s10.csv,OK,13,303,0.120670,0,v1,v2,0

manhattan_n50_k20_d2_s1.csv,OK,31,483,0.219963,0,v1,v2,0
manhattan_n50_k20_d2_s2.csv,OK,47,647,0.278629,0,v1,v2,0
manhattan_n50_k20_d2_s3.csv,OK,35,623,0.266217,0,v1,v2,0
manhattan_n50_k20_d2_s4.csv,OK,33,370,0.233519,0,v1,v2,0
manhattan_n50_k20_d2_s5.csv,OK,39,600,0.248200,0,v1,v2,0
manhattan_n50_k20_d2_s6.csv,OK,38,613,0.252449,0,v1,v2,0
manhattan_n50_k20_d2_s7.csv,OK,42,524,0.255390,0,v1,v2,0
manhattan_n50_k20_d2_s8.csv,OK,37,597,0.243531,0,v1,v2,0
manhattan_n50_k20_d2_s9.csv,OK,47,651,0.333171,0,v1,v2,0
manhattan_n50_k20_d2_s10.csv,OK,34,575,0.225451,0,v1,v2,0

manhattan_n50_k40_d2_s1.csv,OK,104,1308,0.669359,0,v1,v2,0
manhattan_n50_k40_d2_s2.csv,OK,94,1259,0.615885,0,v1,v2,0
manhattan_n50_k40_d2_s3.csv,OK,92,1178,0.602357,0,v1,v2,0
manhattan_n50_k40_d2_s4.csv,OK,109,1057,0.726371,0,v1,v2,0
manhattan_n50_k40_d2_s5.csv,OK,86,1020,0.656602,0.16666666666666674,v1,v39,0.023076923076923078
manhattan_n50_k40_d2_s6.csv,OK,96,1114,0.614612,0.080000000000000071,v2,v39,0.0025641025641025641
manhattan_n50_k40_d2_s7.csv,OK,97,1028,0.643403,0,v1,v2,0
manhattan_n50_k40_d2_s8.csv,OK,114,1360,0.747866,0,v1,v2,0
manhattan_n50_k40_d2_s9.csv,OK,103,1352,0.673168,0,v1,v2,0
manhattan_n50_k40_d2_s10.csv,OK,78,1074,0.512131,0,v1,v2,0

manhattan_n50_k80_d2_s1.csv,OK,226,2170,2.581174,0.14285714285714279,v4,v50,0.0037974683544303796
manhattan_n50_k80_d2_s2.csv,OK,209,2408,2.246531,0,v1,v2,0
manhattan_n50_k80_d2_s3.csv,OK,188,1917,1.930317,0,v1,v2,0
manhattan_n50_k80_d2_s4.csv,OK,214,2118,2.399356,0,v1,v2,0
manhattan_n50_k80_d2_s5.csv,OK,190,1972,1.970738,0,v1,v2,0
manhattan_n50_k80_d2_s6.csv,OK,226,2272,2.568971,0,v1,v2,0
manhattan_n50_k80_d2_s7.csv,OK,239,2387,2.800057,0,v1,v2,0
manhattan_n50_k80_d2_s8.csv,OK,195,2322,2.054368,0,v1,v2,0
manhattan_n50_k80_d2_s9.csv,OK,235,2223,2.753323,0,v1,v2,0
manhattan_n50_k80_d2_s10.csv,OK,237,2133,2.801624,0,v1,v2,0

manhattan_n50_k100_d2_s1.csv,OK,221,2372,3.115008,0,v1,v2,0
manhattan_n50_k100_d2_s2.csv,OK,277,2525,4.301277,0.068965517241379226,v11,v14,0.0012121212121212121
manhattan_n50_k100_d2_s3.csv,OK,221,2271,2.980161,0,v1,v2,0
manhattan_n50_k100_d2_s4.csv,OK,280,2516,4.440826,0,v1,v2,0
manhattan_n50_k100_d2_s5.csv,OK,214,2257,2.883850,0,v1,v2,0
manhattan_n50_k100_d2_s6.csv,OK,248,2541,3.618810,0.1333333333333333,v27,v66,0.00040404040404040404
manhattan_n50_k100_d2_s7.csv,OK,276,2683,4.428077,0,v1,v2,0
manhattan_n50_k100_d2_s8.csv,OK,262,2471,3.905220,0,v1,v2,0
manhattan_n50_k100_d2_s9.csv,OK,258,2459,3.894634,0,v1,v2,0
manhattan_n50_k100_d2_s10.csv,OK,284,2559,4.469577,0,v1,v2,0

manhattan_n50_k160_d2_s1.csv,OK,354,3198,11.136086,0,v1,v2,0
manhattan_n50_k160_d2_s2.csv,OK,345,3079,10.979029,0,v1,v2,0
manhattan_n50_k160_d2_s3.csv,OK,353,3373,11.676245,0,v1,v2,0
manhattan_n50_k160_d2_s4.csv,OK,433,3626,19.271212,0.071428571428571397,v77,v134,0.00031446540880503143
manhattan_n50_k160_d2_s5.csv,OK,367,3181,12.975115,0,v1,v2,0
manhattan_n50_k160_d2_s6.csv,OK,421,3486,17.827158,0.28571428571428581,v66,v79,0.0022012578616352201
manhattan_n50_k160_d2_s7.csv,OK,434,3546,19.169990,0.28571428571428581,v41,v140,0.001729559748427673
manhattan_n50_k160_d2_s8.csv,OK,357,3372,11.521556,0.090909090909090828,v43,v153,0.00031446540880503143
manhattan_n50_k160_d2_s9.csv,OK,430,3693,18.547480,0,v1,v2,0
manhattan_n50_k160_d2_s10.csv,OK,410,3719,16.704051,0,v1,v2,0

manhattan_n50_k320_d2_s1.csv,OK,527,4284,83.799165,0,v1,v2,0
manhattan_n50_k320_d2_s2.csv,OK,520,4388,84.877214,0,v1,v2,0
manhattan_n50_k320_d2_s3.csv,OK,561,4525,99.142340,0.33333333333333326,v130,v174,0.00031347962382445143
manhattan_n50_k320_d2_s4.csv,OK,556,4342,97.960332,0.39999999999999991,v139,v247,0.00023510971786833856
manhattan_n50_k320_d2_s5.csv,OK,602,4431,120.021815,0.22222222222222232,v144,v233,0.00047021943573667712
manhattan_n50_k320_d2_s6.csv,OK,603,4453,120.013457,0.28571428571428581,v185,v211,0.00082288401253918493
manhattan_n50_k320_d2_s7.csv,OK,574,4542,109.245743,0,v1,v2,0
manhattan_n50_k320_d2_s8.csv,OK,598,4593,117.718639,0,v1,v2,0
manhattan_n50_k320_d2_s9.csv,OK,581,4497,108.170101,0.19999999999999996,v44,v186,0.00070532915360501562
manhattan_n50_k320_d2_s10.csv,OK,584,4566,108.318601,0.15384615384615374,v88,v96,0.00019592476489028212

manhattan_n50_k640_d2_s1.csv,OK,656,4992,516.721863,0,v1,v2,0
manhattan_n50_k640_d2_s2.csv,OK,618,4902,469.815417,0,v1,v2,0
manhattan_n50_k640_d2_s3.csv,OK,634,4887,510.529756,0,v1,v2,0
manhattan_n50_k640_d2_s4.csv,OK,690,5067,578.461555,0,v1,v2,0
manhattan_n50_k640_d2_s5.csv,OK,665,4864,517.676329,0,v1,v2,0
manhattan_n50_k640_d2_s6.csv,OK,685,4984,551.562042,0,v1,v2,0
manhattan_n50_k640_d2_s7.csv,OK,612,4919,451.944557,0,v1,v2,0
manhattan_n50_k640_d2_s8.csv,OK,656,4876,492.253609,0,v1,v2,0
manhattan_n50_k640_d2_s9.csv,OK,642,4960,496.432212,0,v1,v2,0
manhattan_n50_k640_d2_s10.csv,OK,579,4892,423.733454,0,v1,v2,0

manhattan_n50_k1000_d2_s1.csv,TIMEOUT,,,600.005954,,,,
manhattan_n50_k1000_d2_s2.csv,TIMEOUT,,,600.166559,,,,
manhattan_n50_k1000_d2_s3.csv,TIMEOUT,,,600.294961,,,,
manhattan_n50_k1000_d2_s4.csv,TIMEOUT,,,600.282060,,,,
manhattan_n50_k1000_d2_s5.csv,TIMEOUT,,,600.395138,,,,
manhattan_n50_k1000_d2_s6.csv,TIMEOUT,,,600.042257,,,,
manhattan_n50_k1000_d2_s7.csv,TIMEOUT,,,600.220324,,,,
manhattan_n50_k1000_d2_s8.csv,TIMEOUT,,,600.442894,,,,
manhattan_n50_k1000_d2_s9.csv,TIMEOUT,,,600.348301,,,,
manhattan_n50_k1000_d2_s10.csv,TIMEOUT,,,600.171173,,,,


manhattan_n10_k5_d2_base.csv,OK,3,22,0.108721,0,v1,v2,0
manhattan_n10_k5_d2_add1.csv,OK,3,42,0.113922,0,v1,v2,0
manhattan_n10_k5_d2_add2.csv,OK,11,65,0.141713,0,v1,v2,0
manhattan_n10_k5_d2_add3.csv,OK,11,73,0.150084,0,v1,v2,0
manhattan_n10_k5_d2_add4.csv,OK,22,115,0.187013,0,v1,v2,0
manhattan_n10_k5_d2_add5.csv,OK,26,135,0.205059,0,v1,v2,0
manhattan_n10_k5_d2_add6.csv,OK,22,136,0.198976,0,v1,v2,0
manhattan_n10_k5_d2_add7.csv,OK,43,211,0.298227,0.19999999999999996,v4,v5,0.060606060606060608
manhattan_n10_k5_d2_add8.csv,OK,89,413,0.582593,0.19999999999999996,v4,v5,0.076923076923076927
manhattan_n10_k5_d2_add9.csv,OK,88,391,0.571705,0.19999999999999996,v4,v5,0.15384615384615385
manhattan_n10_k5_d2_add10.csv,OK,87,411,0.551295,0.19999999999999996,v4,v5,0.038095238095238099
manhattan_n10_k5_d2_add11.csv,OK,97,474,0.633893,0.66666666666666674,v10,v11,0.13333333333333333
manhattan_n10_k5_d2_add12.csv,OK,133,638,0.918226,0.16666666666666663,v1,v8,0.14705882352941177
manhattan_n10_k5_d2_add13.csv,OK,148,691,1.159526,0.19047619047619047,v5,v12,0.11764705882352941
manhattan_n10_k5_d2_add14.csv,OK,138,661,0.993473,0.19047619047619047,v5,v12,0.19883040935672514
manhattan_n10_k5_d2_add15.csv,OK,148,678,1.104632,0.22222222222222221,v1,v19,0.29473684210526313
manhattan_n10_k5_d2_add16.csv,OK,245,999,2.347801,0.26666666666666672,v18,v19,0.29523809523809524
manhattan_n10_k5_d2_add17.csv,OK,265,1091,2.802434,0.26666666666666672,v18,v19,0.32034632034632032
manhattan_n10_k5_d2_add18.csv,OK,218,879,2.133109,0.22222222222222232,v19,v21,0.33992094861660077
manhattan_n10_k5_d2_add19.csv,OK,229,933,2.157302,0.26666666666666672,v18,v19,0.17391304347826086
manhattan_n10_k5_d2_add20.csv,OK,226,966,2.113269,0.22222222222222232,v19,v21,0.27333333333333332
manhattan_n10_k5_d2_add21.csv,OK,275,1118,3.019835,0.26666666666666672,v18,v19,0.2153846153846154
manhattan_n10_k5_d2_add22.csv,OK,247,1066,2.479781,0.40000000000000002,v18,v19,0.30769230769230771
manhattan_n10_k5_d2_add23.csv,OK,221,976,2.069885,0.30769230769230771,v2,v28,0.24338624338624337
manhattan_n10_k5_d2_add24.csv,OK,235,1031,2.330851,0.5,v4,v15,0.33990147783251229
manhattan_n10_k5_d2_add25.csv,OK,228,952,2.161810,0.22222222222222232,v19,v21,0.31264367816091954
