input_file,status,rate,rate_XD,rate_edge,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae

23ku_2.csv,OK,29,29,k:7,57,172.6426579999999,0.565726,0.29850475014518607,千代田区,台東区,0.27729139920948553

industry_1-r.csv,OK,20,20,k:13,63,546.5,0.556062,0.53333333333333344,Internet,Retail,2.8528138528138527
industry_sqrt(1-r).csv,OK,35,35,k:16,83,871.85483368499968,0.715629,0.25746566184375608,SP_500,NYSE_Technology,3.6952027842857054
industry_arccos(r).csv,OK,30,30,k:4,75,1325.8123252549988,0.660430,0.26433034578979897,Oil_Gas_Equipment_Services,Regional_Banking,4.3897943515151283

hiv_seq_hamming_distance.csv,OK,100,100,k:6,38,775,0.466019,0.4285714285714286,B.CN.1996.96CNKM004.AB213670.SH,B.CN.1999.plwj2_6.GU647198.PB,4.3308823529411766

moji30.csv,OK,100,100,k:15,125,213.5,1.065212,0.25,grady,credit,0.10574712643678161

cramer_1-r.csv,OK,79,79,0,101,1321,0.730416,0.16161616161616166,PhoneService,PaymentMethod,1.3083333333333333
cramer_sqrt(1-r).csv,OK,79,79,0,49,918.20443823999949,0.462380,0.073748823919419504,PhoneService,PaperlessBilling,0.96906007758333412
cramer_arccos(r).csv,OK,95,95,0,74,1612.457983639998,0.574643,0.11610164141994117,InternetService,PaperlessBilling,1.498988851666671

election_1-r.csv,OK,25,25,0,29,1613.5,0.381333,0.32085561497326198,White,Black,3.581818181818182
election_sqrt(1-r).csv,OK,73,73,k:4,174,1984.1951767000003,1.176467,0.16813064485774976,White,Black,1.2160361710909229
election_arccos(r).csv,OK,20,20,0,61,3866.0244492849974,0.477231,0.16698589888680559,Trump,White,2.1585336600000189

