input_file,status,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae

treemetric_n20_k1_idx1.csv,OK,18,37,2.407405,0,A,B,0
manhattan_n1000_k160_d2_s1.csv,TIMEOUT,,,600.661000,,,,


manhattan_n10_k20_d2_s1.csv,OK,19,86,0.186411,0,v1,v2,0
manhattan_n10_k20_d2_s2.csv,OK,15,69,0.158878,0,v1,v2,0
manhattan_n10_k20_d2_s3.csv,OK,25,104,0.188292,0,v1,v2,0
manhattan_n10_k20_d2_s4.csv,OK,14,65,0.159581,0,v1,v2,0
manhattan_n10_k20_d2_s5.csv,OK,21,86,0.171150,0,v1,v2,0
manhattan_n10_k20_d2_s6.csv,OK,22,88,0.191403,0,v1,v2,0
manhattan_n10_k20_d2_s7.csv,OK,16,69,0.178537,0,v1,v2,0
manhattan_n10_k20_d2_s8.csv,OK,18,102,0.176082,0,v1,v2,0
manhattan_n10_k20_d2_s9.csv,OK,18,94,0.188655,0,v1,v2,0
manhattan_n10_k20_d2_s10.csv,OK,19,84,0.170721,0,v1,v2,0

manhattan_n20_k20_d2_s1.csv,OK,25,156,0.192889,0,v1,v2,0
manhattan_n20_k20_d2_s2.csv,OK,30,192,0.207247,0,v1,v2,0
manhattan_n20_k20_d2_s3.csv,OK,31,173,0.216064,0,v1,v2,0
manhattan_n20_k20_d2_s4.csv,OK,29,137,0.225184,0,v1,v2,0
manhattan_n20_k20_d2_s5.csv,OK,28,173,0.211265,0,v1,v2,0
manhattan_n20_k20_d2_s6.csv,OK,35,213,0.214753,0,v1,v2,0
manhattan_n20_k20_d2_s7.csv,OK,36,198,0.234161,0,v1,v2,0
manhattan_n20_k20_d2_s8.csv,OK,44,221,0.253217,0,v1,v2,0
manhattan_n20_k20_d2_s9.csv,OK,27,180,0.207961,0.16666666666666674,v12,v20,0.021052631578947368
manhattan_n20_k20_d2_s10.csv,OK,39,217,0.228183,0,v1,v2,0

manhattan_n50_k20_d2_s1.csv,OK,56,540,0.329017,0,v1,v2,0
manhattan_n50_k20_d2_s2.csv,OK,67,709,0.345018,0,v1,v2,0
manhattan_n50_k20_d2_s3.csv,OK,47,592,0.257946,0,v1,v2,0
manhattan_n50_k20_d2_s4.csv,OK,56,435,0.304801,0,v1,v2,0
manhattan_n50_k20_d2_s5.csv,OK,48,621,0.283139,0,v1,v2,0
manhattan_n50_k20_d2_s6.csv,OK,59,585,0.322596,0,v1,v2,0
manhattan_n50_k20_d2_s7.csv,OK,48,502,0.289154,0,v1,v2,0
manhattan_n50_k20_d2_s8.csv,OK,54,622,0.307419,0,v1,v2,0
manhattan_n50_k20_d2_s9.csv,OK,75,724,0.379112,0,v1,v2,0
manhattan_n50_k20_d2_s10.csv,OK,46,568,0.264023,0,v1,v2,0

manhattan_n100_k20_d2_s1.csv,OK,72,1427,0.389607,0,v1,v2,0
manhattan_n100_k20_d2_s2.csv,OK,86,1353,0.427400,0,v1,v2,0
manhattan_n100_k20_d2_s3.csv,OK,50,1157,0.286891,0,v1,v2,0
manhattan_n100_k20_d2_s4.csv,OK,58,973,0.332507,0,v1,v2,0
manhattan_n100_k20_d2_s5.csv,OK,76,1268,0.399303,0,v1,v2,0
manhattan_n100_k20_d2_s6.csv,OK,78,1419,0.369854,0,v1,v2,0
manhattan_n100_k20_d2_s7.csv,OK,74,1265,0.350934,0,v1,v2,0
manhattan_n100_k20_d2_s8.csv,OK,53,1191,0.286215,0,v1,v2,0
manhattan_n100_k20_d2_s9.csv,OK,69,1390,0.351265,0,v1,v2,0
manhattan_n100_k20_d2_s10.csv,OK,51,988,0.278416,0,v1,v2,0

manhattan_n200_k20_d2_s1.csv,OK,78,3205,0.374802,0,v1,v2,0
manhattan_n200_k20_d2_s2.csv,OK,81,3055,0.423466,0,v1,v2,0
manhattan_n200_k20_d2_s3.csv,OK,40,2019,0.267579,0,v1,v2,0
manhattan_n200_k20_d2_s4.csv,OK,70,2106,0.372155,0,v1,v2,0
manhattan_n200_k20_d2_s5.csv,OK,60,2333,0.306690,0,v1,v2,0
manhattan_n200_k20_d2_s6.csv,OK,59,2637,0.296704,0,v1,v2,0
manhattan_n200_k20_d2_s7.csv,OK,78,2503,0.387388,0,v1,v2,0
manhattan_n200_k20_d2_s8.csv,OK,57,2319,0.305476,0,v1,v2,0
manhattan_n200_k20_d2_s9.csv,OK,74,2569,0.376511,0,v1,v2,0
manhattan_n200_k20_d2_s10.csv,OK,57,2424,0.309609,0,v1,v2,0

manhattan_n500_k20_d2_s1.csv,OK,65,8017,0.361123,0,v1,v2,0
manhattan_n500_k20_d2_s2.csv,OK,68,6924,0.344639,0,v1,v2,0
manhattan_n500_k20_d2_s3.csv,OK,74,6974,0.373379,0.0062893081761006275,v7,v20,0.031578947368421054
manhattan_n500_k20_d2_s4.csv,OK,84,5896,0.428722,0.0069930069930070893,v1,v17,0.063157894736842107
manhattan_n500_k20_d2_s5.csv,OK,61,5769,0.336115,0.014925373134328401,v8,v16,0.010526315789473684
manhattan_n500_k20_d2_s6.csv,OK,76,7637,0.397996,0.011560693641618602,v10,v18,0.042105263157894736
manhattan_n500_k20_d2_s7.csv,OK,67,5562,0.338311,0,v1,v2,0
manhattan_n500_k20_d2_s8.csv,OK,64,7064,0.325826,0.014234875444839812,v12,v17,0.17894736842105263
manhattan_n500_k20_d2_s9.csv,OK,61,5500,0.334969,0.016260162601626105,v6,v17,0.031578947368421054
manhattan_n500_k20_d2_s10.csv,OK,75,6907,0.412822,0,v1,v2,0

manhattan_n1000_k20_d2_s1.csv,OK,75,14815,0.668125,0.0056338028169014009,v2,v13,0.021052631578947368
manhattan_n1000_k20_d2_s2.csv,OK,84,15022,0.421728,0,v1,v2,0
manhattan_n1000_k20_d2_s3.csv,OK,60,14150,0.299338,0.015748031496062964,v16,v18,0.17894736842105263
manhattan_n1000_k20_d2_s4.csv,OK,59,8818,0.299068,0,v1,v2,0
manhattan_n1000_k20_d2_s5.csv,OK,74,14591,0.382177,0.070370370370370416,v10,v12,0.26315789473684209
manhattan_n1000_k20_d2_s6.csv,OK,75,14279,0.373532,0,v1,v2,0
manhattan_n1000_k20_d2_s7.csv,OK,73,12621,0.361165,0,v1,v2,0
manhattan_n1000_k20_d2_s8.csv,OK,65,13767,0.326241,0.0061538461538461764,v5,v17,0.052631578947368418
manhattan_n1000_k20_d2_s9.csv,OK,79,13783,0.387980,0.0095923261390886694,v3,v12,0.042105263157894736
manhattan_n1000_k20_d2_s10.csv,OK,70,13935,0.333347,0.0088105726872247381,v4,v16,0.052631578947368418


manhattan_n50_k5_d2_s1.csv,OK,2,72,0.099708,0,v1,v2,0
manhattan_n50_k5_d2_s2.csv,OK,2,70,0.100684,0,v1,v2,0
manhattan_n50_k5_d2_s3.csv,OK,2,138,0.095607,0,v1,v2,0
manhattan_n50_k5_d2_s4.csv,OK,4,65,0.101316,0,v1,v2,0
manhattan_n50_k5_d2_s5.csv,OK,4,100,0.114657,0,v1,v2,0
manhattan_n50_k5_d2_s6.csv,OK,4,120,0.099396,0,v1,v2,0
manhattan_n50_k5_d2_s7.csv,OK,3,70,0.095509,0,v1,v2,0
manhattan_n50_k5_d2_s8.csv,OK,2,92,0.094870,0,v1,v2,0
manhattan_n50_k5_d2_s9.csv,OK,2,66,0.104492,0,v1,v2,0
manhattan_n50_k5_d2_s10.csv,OK,6,114,0.100223,0,v1,v2,0

manhattan_n50_k10_d2_s1.csv,OK,19,257,0.419296,0,v1,v2,0
manhattan_n50_k10_d2_s2.csv,OK,22,371,0.144377,0,v1,v2,0
manhattan_n50_k10_d2_s3.csv,OK,20,365,0.140593,0,v1,v2,0
manhattan_n50_k10_d2_s4.csv,OK,16,184,0.134157,0,v1,v2,0
manhattan_n50_k10_d2_s5.csv,OK,13,246,0.129674,0,v1,v2,0
